,,All HRPs,White: Total,White: Scottish	,White: Other British	,White: Irish	,White: Other (1)	,Mixed or multiple ethnic groups	,Asian Asian Scottish or Asian British	,African,Caribbean or Black,Other ethnic groups
S01007104,One family household: Couple family,120,120,96,20,0,4,0,0,0,0,0
S01007104,One family household: Lone parent,10,10,9,1,0,0,0,0,0,0,0
S01007104,Other household types,8,8,5,2,0,1,0,0,0,0,0
S01007105,All households,238,238,214,21,0,3,0,0,0,0,0
S01007105,One person household,76,76,68,7,0,1,0,0,0,0,0
S01007105,One family household: Total,156,156,141,13,0,2,0,0,0,0,0
S01007105,One family household: All aged 65 and over,25,25,23,1,0,1,0,0,0,0,0
S01007105,One family household: Couple family,107,107,96,10,0,1,0,0,0,0,0
S01007105,One family household: Lone parent,24,24,22,2,0,0,0,0,0,0,0
S01007105,Other household types,6,6,5,1,0,0,0,0,0,0,0
S01007106,All households,319,318,282,34,0,2,0,1,0,0,0
S01007106,One person household,102,102,92,10,0,0,0,0,0,0,0
S01007106,One family household: Total,205,205,182,22,0,1,0,0,0,0,0
S01007106,One family household: All aged 65 and over,34,34,32,2,0,0,0,0,0,0,0
S01007106,One family household: Couple family,140,140,123,16,0,1,0,0,0,0,0
S01007106,One family household: Lone parent,31,31,27,4,0,0,0,0,0,0,0
S01007106,Other household types,12,11,8,2,0,1,0,1,0,0,0
S01007107,All households,256,254,218,32,0,4,0,0,0,1,1
S01007107,One person household,36,36,34,2,0,0,0,0,0,0,0
S01007107,One family household: Total,204,202,174,25,0,3,0,0,0,1,1
S01007107,One family household: All aged 65 and over,24,24,20,3,0,1,0,0,0,0,0
S01007107,One family household: Couple family,167,165,145,18,0,2,0,0,0,1,1
S01007107,One family household: Lone parent,13,13,9,4,0,0,0,0,0,0,0
S01007107,Other household types,16,16,10,5,0,1,0,0,0,0,0
S01007108,All households,226,226,181,42,0,3,0,0,0,0,0
S01007108,One person household,42,42,34,8,0,0,0,0,0,0,0
S01007108,One family household: Total,169,169,136,30,0,3,0,0,0,0,0
S01007108,One family household: All aged 65 and over,21,21,16,5,0,0,0,0,0,0,0
S01007108,One family household: Couple family,137,137,111,23,0,3,0,0,0,0,0
S01007108,One family household: Lone parent,11,11,9,2,0,0,0,0,0,0,0
S01007108,Other household types,15,15,11,4,0,0,0,0,0,0,0
S01007109,All households,371,368,303,46,1,18,0,1,0,1,1
S01007109,One person household,120,120,103,15,1,1,0,0,0,0,0
S01007109,One family household: Total,236,233,189,30,0,14,0,1,0,1,1
S01007109,One family household: All aged 65 and over,26,26,21,5,0,0,0,0,0,0,0
S01007109,One family household: Couple family,169,167,137,18,0,12,0,1,0,1,0
S01007109,One family household: Lone parent,41,40,31,7,0,2,0,0,0,0,1
S01007109,Other household types,15,15,11,1,0,3,0,0,0,0,0
S01007110,All households,324,320,277,26,1,16,0,2,1,1,0
S01007110,One person household,94,93,80,10,1,2,0,0,0,1,0
S01007110,One family household: Total,221,218,189,16,0,13,0,2,1,0,0
S01007110,One family household: All aged 65 and over,23,23,22,1,0,0,0,0,0,0,0
S01007110,One family household: Couple family,163,160,137,11,0,12,0,2,1,0,0
S01007110,One family household: Lone parent,35,35,30,4,0,1,0,0,0,0,0
S01007110,Other household types,9,9,8,0,0,1,0,0,0,0,0
S01007111,All households,225,223,190,26,1,6,0,2,0,0,0
S01007111,One person household,59,58,47,10,0,1,0,1,0,0,0
S01007111,One family household: Total,160,159,140,15,1,3,0,1,0,0,0
S01007111,One family household: All aged 65 and over,28,28,28,0,0,0,0,0,0,0,0
S01007111,One family household: Couple family,118,118,102,12,1,3,0,0,0,0,0
S01007111,One family household: Lone parent,14,13,10,3,0,0,0,1,0,0,0
S01007111,Other household types,6,6,3,1,0,2,0,0,0,0,0
S01007112,All households,214,214,198,7,3,6,0,0,0,0,0
S01007112,One person household,40,40,39,1,0,0,0,0,0,0,0
S01007112,One family household: Total,166,166,155,6,3,2,0,0,0,0,0
S01007112,One family household: All aged 65 and over,43,43,41,2,0,0,0,0,0,0,0
S01007112,One family household: Couple family,117,117,108,4,3,2,0,0,0,0,0
S01007112,One family household: Lone parent,6,6,6,0,0,0,0,0,0,0,0
S01007112,Other household types,8,8,4,0,0,4,0,0,0,0,0
S01007113,All households,231,225,206,8,1,10,1,2,1,1,1
S01007113,One person household,79,78,75,2,0,1,0,0,0,1,0
S01007113,One family household: Total,140,135,122,5,1,7,1,2,1,0,1
S01007113,One family household: All aged 65 and over,35,35,34,0,0,1,0,0,0,0,0
S01007113,One family household: Couple family,96,91,79,5,1,6,1,2,1,0,1
S01007113,One family household: Lone parent,9,9,9,0,0,0,0,0,0,0,0
S01007113,Other household types,12,12,9,1,0,2,0,0,0,0,0
S01007114,All households,378,376,354,8,4,10,0,2,0,0,0
S01007114,One person household,103,102,100,0,1,1,0,1,0,0,0
S01007114,One family household: Total,271,270,253,8,2,7,0,1,0,0,0
S01007114,One family household: All aged 65 and over,52,52,52,0,0,0,0,0,0,0,0
S01007114,One family household: Couple family,188,188,174,7,2,5,0,0,0,0,0
S01007114,One family household: Lone parent,31,30,27,1,0,2,0,1,0,0,0
S01007114,Other household types,4,4,1,0,1,2,0,0,0,0,0
S01007115,All households,257,256,243,10,1,2,0,1,0,0,0
S01007115,One person household,66,66,63,3,0,0,0,0,0,0,0
S01007115,One family household: Total,186,185,177,6,1,1,0,1,0,0,0
S01007115,One family household: All aged 65 and over,25,25,24,1,0,0,0,0,0,0,0
S01007115,One family household: Couple family,148,147,141,5,1,0,0,1,0,0,0
S01007115,One family household: Lone parent,13,13,12,0,0,1,0,0,0,0,0
S01007115,Other household types,5,5,3,1,0,1,0,0,0,0,0
S01007116,All households,315,312,290,12,3,7,0,2,0,1,0
S01007116,One person household,26,26,23,2,1,0,0,0,0,0,0
S01007116,One family household: Total,281,278,262,8,2,6,0,2,0,1,0
S01007116,One family household: All aged 65 and over,17,17,17,0,0,0,0,0,0,0,0
S01007116,One family household: Couple family,256,253,238,8,2,5,0,2,0,1,0
S01007116,One family household: Lone parent,8,8,7,0,0,1,0,0,0,0,0
S01007116,Other household types,8,8,5,2,0,1,0,0,0,0,0
S01007117,All households,177,176,169,3,1,3,0,0,1,0,0
S01007117,One person household,23,23,23,0,0,0,0,0,0,0,0
S01007117,One family household: Total,147,146,140,3,1,2,0,0,1,0,0
S01007117,One family household: All aged 65 and over,31,31,30,1,0,0,0,0,0,0,0
S01007117,One family household: Couple family,110,109,104,2,1,2,0,0,1,0,0
S01007117,One family household: Lone parent,6,6,6,0,0,0,0,0,0,0,0
S01007117,Other household types,7,7,6,0,0,1,0,0,0,0,0
S01007118,All households,282,280,247,13,1,19,0,2,0,0,0
S01007118,One person household,68,67,64,2,0,1,0,1,0,0,0
S01007118,One family household: Total,192,191,171,11,1,8,0,1,0,0,0
S01007118,One family household: All aged 65 and over,9,9,8,1,0,0,0,0,0,0,0
S01007118,One family household: Couple family,124,123,106,8,1,8,0,1,0,0,0
S01007118,One family household: Lone parent,59,59,57,2,0,0,0,0,0,0,0
S01007118,Other household types,22,22,12,0,0,10,0,0,0,0,0
S01007119,All households,330,330,299,19,1,11,0,0,0,0,0
S01007119,One person household,85,85,81,4,0,0,0,0,0,0,0
S01007119,One family household: Total,228,228,205,14,1,8,0,0,0,0,0
S01007119,One family household: All aged 65 and over,17,17,15,2,0,0,0,0,0,0,0
S01007119,One family household: Couple family,163,163,145,9,1,8,0,0,0,0,0
S01007119,One family household: Lone parent,48,48,45,3,0,0,0,0,0,0,0
S01007119,Other household types,17,17,13,1,0,3,0,0,0,0,0
S01007120,All households,483,481,412,16,2,51,0,2,0,0,0
S01007120,One person household,153,153,137,6,1,9,0,0,0,0,0
S01007120,One family household: Total,306,304,266,9,0,29,0,2,0,0,0
S01007120,One family household: All aged 65 and over,29,29,29,0,0,0,0,0,0,0,0
S01007120,One family household: Couple family,214,212,178,7,0,27,0,2,0,0,0
S01007120,One family household: Lone parent,63,63,59,2,0,2,0,0,0,0,0
S01007120,Other household types,24,24,9,1,1,13,0,0,0,0,0
S01007121,All households,294,290,231,25,1,33,0,3,0,1,0
S01007121,One person household,169,168,139,20,1,8,0,0,0,1,0
S01007121,One family household: Total,97,95,83,3,0,9,0,2,0,0,0
S01007121,One family household: All aged 65 and over,24,24,23,1,0,0,0,0,0,0,0
S01007121,One family household: Couple family,62,60,52,2,0,6,0,2,0,0,0
S01007121,One family household: Lone parent,11,11,8,0,0,3,0,0,0,0,0
S01007121,Other household types,28,27,9,2,0,16,0,1,0,0,0
S01007122,All households,287,283,251,14,0,18,1,3,0,0,0
S01007122,One person household,124,123,106,7,0,10,1,0,0,0,0
S01007122,One family household: Total,156,153,141,6,0,6,0,3,0,0,0
S01007122,One family household: All aged 65 and over,23,23,22,1,0,0,0,0,0,0,0
S01007122,One family household: Couple family,110,107,97,5,0,5,0,3,0,0,0
S01007122,One family household: Lone parent,23,23,22,0,0,1,0,0,0,0,0
S01007122,Other household types,7,7,4,1,0,2,0,0,0,0,0
S01007123,All households,313,309,283,9,0,17,1,2,0,1,0
S01007123,One person household,125,122,114,4,0,4,1,1,0,1,0
S01007123,One family household: Total,180,179,163,5,0,11,0,1,0,0,0
S01007123,One family household: All aged 65 and over,33,33,31,1,0,1,0,0,0,0,0
S01007123,One family household: Couple family,124,123,113,2,0,8,0,1,0,0,0
S01007123,One family household: Lone parent,23,23,19,2,0,2,0,0,0,0,0
S01007123,Other household types,8,8,6,0,0,2,0,0,0,0,0
S01007124,All households,380,378,345,14,1,18,0,2,0,0,0
S01007124,One person household,94,94,90,3,0,1,0,0,0,0,0
S01007124,One family household: Total,270,269,246,9,1,13,0,1,0,0,0
S01007124,One family household: All aged 65 and over,37,37,37,0,0,0,0,0,0,0,0
S01007124,One family household: Couple family,194,193,172,7,1,13,0,1,0,0,0
S01007124,One family household: Lone parent,39,39,37,2,0,0,0,0,0,0,0
S01007124,Other household types,16,15,9,2,0,4,0,1,0,0,0
S01007125,All households,351,345,286,14,1,44,1,2,2,1,0
S01007125,One person household,106,104,93,6,0,5,0,0,1,1,0
S01007125,One family household: Total,221,220,184,8,1,27,1,0,0,0,0
S01007125,One family household: All aged 65 and over,35,35,33,2,0,0,0,0,0,0,0
S01007125,One family household: Couple family,144,144,116,2,1,25,0,0,0,0,0
S01007125,One family household: Lone parent,42,41,35,4,0,2,1,0,0,0,0
S01007125,Other household types,24,21,9,0,0,12,0,2,1,0,0
S01007126,All households,399,395,273,29,4,89,0,3,1,0,0
S01007126,One person household,145,142,116,16,2,8,0,3,0,0,0
S01007126,One family household: Total,218,217,145,12,1,59,0,0,1,0,0
S01007126,One family household: All aged 65 and over,10,10,10,0,0,0,0,0,0,0,0
S01007126,One family household: Couple family,145,144,86,8,1,49,0,0,1,0,0
S01007126,One family household: Lone parent,63,63,49,4,0,10,0,0,0,0,0
S01007126,Other household types,36,36,12,1,1,22,0,0,0,0,0
S01007127,All households,446,440,289,26,0,125,0,3,1,1,1
S01007127,One person household,164,164,133,15,0,16,0,0,0,0,0
S01007127,One family household: Total,215,210,143,9,0,58,0,2,1,1,1
S01007127,One family household: All aged 65 and over,16,16,16,0,0,0,0,0,0,0,0
S01007127,One family household: Couple family,159,154,97,7,0,50,0,2,1,1,1
S01007127,One family household: Lone parent,40,40,30,2,0,8,0,0,0,0,0
S01007127,Other household types,67,66,13,2,0,51,0,1,0,0,0
S01007128,All households,411,407,366,17,2,22,0,4,0,0,0
S01007128,One person household,173,171,162,6,1,2,0,2,0,0,0
S01007128,One family household: Total,222,220,194,9,1,16,0,2,0,0,0
S01007128,One family household: All aged 65 and over,38,38,34,4,0,0,0,0,0,0,0
S01007128,One family household: Couple family,147,146,126,5,1,14,0,1,0,0,0
S01007128,One family household: Lone parent,37,36,34,0,0,2,0,1,0,0,0
S01007128,Other household types,16,16,10,2,0,4,0,0,0,0,0
S01007129,All households,374,368,298,58,7,5,0,3,2,1,0
S01007129,One person household,68,68,57,8,2,1,0,0,0,0,0
S01007129,One family household: Total,294,288,230,50,4,4,0,3,2,1,0
S01007129,One family household: All aged 65 and over,36,36,31,4,0,1,0,0,0,0,0
S01007129,One family household: Couple family,236,231,182,43,3,3,0,2,2,1,0
S01007129,One family household: Lone parent,22,21,17,3,1,0,0,1,0,0,0
S01007129,Other household types,12,12,11,0,1,0,0,0,0,0,0
S01007130,All households,280,279,260,13,1,5,0,1,0,0,0
S01007130,One person household,91,91,85,3,0,3,0,0,0,0,0
S01007130,One family household: Total,178,177,165,9,1,2,0,1,0,0,0
S01007130,One family household: All aged 65 and over,42,42,41,0,0,1,0,0,0,0,0
S01007130,One family household: Couple family,120,119,110,7,1,1,0,1,0,0,0
S01007130,One family household: Lone parent,16,16,14,2,0,0,0,0,0,0,0
S01007130,Other household types,11,11,10,1,0,0,0,0,0,0,0
S01007131,All households,341,337,318,16,1,2,0,3,1,0,0
S01007131,One person household,98,97,91,5,0,1,0,1,0,0,0
S01007131,One family household: Total,232,229,216,11,1,1,0,2,1,0,0
S01007131,One family household: All aged 65 and over,39,39,37,2,0,0,0,0,0,0,0
S01007131,One family household: Couple family,176,173,163,8,1,1,0,2,1,0,0
S01007131,One family household: Lone parent,17,17,16,1,0,0,0,0,0,0,0
S01007131,Other household types,11,11,11,0,0,0,0,0,0,0,0
S01007132,All households,297,295,272,16,2,5,0,2,0,0,0
S01007132,One person household,73,73,67,4,0,2,0,0,0,0,0
S01007132,One family household: Total,218,217,201,11,2,3,0,1,0,0,0
S01007132,One family household: All aged 65 and over,44,43,41,2,0,0,0,1,0,0,0
S01007132,One family household: Couple family,157,157,145,9,1,2,0,0,0,0,0
S01007132,One family household: Lone parent,17,17,15,0,1,1,0,0,0,0,0
S01007132,Other household types,6,5,4,1,0,0,0,1,0,0,0
S01007133,All households,262,261,224,29,4,4,0,1,0,0,0
S01007133,One person household,55,55,46,6,3,0,0,0,0,0,0
S01007133,One family household: Total,195,194,170,20,0,4,0,1,0,0,0
S01007133,One family household: All aged 65 and over,29,29,27,2,0,0,0,0,0,0,0
S01007133,One family household: Couple family,153,153,133,17,0,3,0,0,0,0,0
S01007133,One family household: Lone parent,13,12,10,1,0,1,0,1,0,0,0
S01007133,Other household types,12,12,8,3,1,0,0,0,0,0,0
S01007134,All households,317,313,279,26,1,7,0,3,0,0,1
S01007134,One person household,85,85,74,6,0,5,0,0,0,0,0
S01007134,One family household: Total,217,213,191,19,1,2,0,3,0,0,1
S01007134,One family household: All aged 65 and over,20,20,20,0,0,0,0,0,0,0,0
S01007134,One family household: Couple family,175,172,151,18,1,2,0,2,0,0,1
S01007134,One family household: Lone parent,22,21,20,1,0,0,0,1,0,0,0
S01007134,Other household types,15,15,14,1,0,0,0,0,0,0,0
S01007135,All households,221,218,179,35,0,4,0,3,0,0,0
S01007135,One person household,51,51,43,8,0,0,0,0,0,0,0
S01007135,One family household: Total,154,151,125,24,0,2,0,3,0,0,0
S01007135,One family household: All aged 65 and over,19,19,17,2,0,0,0,0,0,0,0
S01007135,One family household: Couple family,126,123,100,21,0,2,0,3,0,0,0
S01007135,One family household: Lone parent,9,9,8,1,0,0,0,0,0,0,0
S01007135,Other household types,16,16,11,3,0,2,0,0,0,0,0
S01007136,All households,185,178,143,32,1,2,0,5,0,0,2
S01007136,One person household,16,16,13,2,1,0,0,0,0,0,0
S01007136,One family household: Total,162,157,126,29,0,2,0,4,0,0,1
S01007136,One family household: All aged 65 and over,18,18,13,5,0,0,0,0,0,0,0
S01007136,One family household: Couple family,131,126,103,21,0,2,0,4,0,0,1
S01007136,One family household: Lone parent,13,13,10,3,0,0,0,0,0,0,0
S01007136,Other household types,7,5,4,1,0,0,0,1,0,0,1
S01007137,All households,248,243,208,27,2,6,1,1,2,0,1
S01007137,One person household,24,23,20,3,0,0,0,0,1,0,0
S01007137,One family household: Total,217,213,182,24,2,5,1,1,1,0,1
S01007137,One family household: All aged 65 and over,7,7,5,2,0,0,0,0,0,0,0
S01007137,One family household: Couple family,198,196,167,22,2,5,0,1,0,0,1
S01007137,One family household: Lone parent,12,10,10,0,0,0,1,0,1,0,0
S01007137,Other household types,7,7,6,0,0,1,0,0,0,0,0
S01007138,All households,243,242,209,28,0,5,0,0,0,0,1
S01007138,One person household,55,55,51,3,0,1,0,0,0,0,0
S01007138,One family household: Total,180,179,150,25,0,4,0,0,0,0,1
S01007138,One family household: All aged 65 and over,28,28,22,6,0,0,0,0,0,0,0
S01007138,One family household: Couple family,140,139,116,19,0,4,0,0,0,0,1
S01007138,One family household: Lone parent,12,12,12,0,0,0,0,0,0,0,0
S01007138,Other household types,8,8,8,0,0,0,0,0,0,0,0
S01007139,All households,324,321,301,11,3,6,0,2,0,0,1
S01007139,One person household,66,66,63,2,1,0,0,0,0,0,0
S01007139,One family household: Total,253,250,234,9,2,5,0,2,0,0,1
S01007139,One family household: All aged 65 and over,42,42,41,1,0,0,0,0,0,0,0
S01007139,One family household: Couple family,187,184,169,8,2,5,0,2,0,0,1
S01007139,One family household: Lone parent,24,24,24,0,0,0,0,0,0,0,0
S01007139,Other household types,5,5,4,0,0,1,0,0,0,0,0
S01007140,All households,405,403,350,41,4,8,0,2,0,0,0
S01007140,One person household,84,83,76,6,0,1,0,1,0,0,0
S01007140,One family household: Total,308,307,262,35,4,6,0,1,0,0,0
S01007140,One family household: All aged 65 and over,44,44,37,6,1,0,0,0,0,0,0
S01007140,One family household: Couple family,234,233,196,28,3,6,0,1,0,0,0
S01007140,One family household: Lone parent,30,30,29,1,0,0,0,0,0,0,0
S01007140,Other household types,13,13,12,0,0,1,0,0,0,0,0
S01007141,All households,249,247,215,26,0,6,0,2,0,0,0
S01007141,One person household,37,37,31,3,0,3,0,0,0,0,0
S01007141,One family household: Total,202,200,174,23,0,3,0,2,0,0,0
S01007141,One family household: All aged 65 and over,24,24,19,5,0,0,0,0,0,0,0
S01007141,One family household: Couple family,161,160,140,17,0,3,0,1,0,0,0
S01007141,One family household: Lone parent,17,16,15,1,0,0,0,1,0,0,0
S01007141,Other household types,10,10,10,0,0,0,0,0,0,0,0
S01007142,All households,153,150,127,19,3,1,0,3,0,0,0
S01007142,One person household,7,7,6,1,0,0,0,0,0,0,0
S01007142,One family household: Total,140,138,118,16,3,1,0,2,0,0,0
S01007142,One family household: All aged 65 and over,0,0,0,0,0,0,0,0,0,0,0
S01007142,One family household: Couple family,135,133,114,15,3,1,0,2,0,0,0
S01007142,One family household: Lone parent,5,5,4,1,0,0,0,0,0,0,0
S01007142,Other household types,6,5,3,2,0,0,0,1,0,0,0
S01007143,All households,203,202,173,21,6,2,0,1,0,0,0
S01007143,One person household,7,7,7,0,0,0,0,0,0,0,0
S01007143,One family household: Total,191,190,161,21,6,2,0,1,0,0,0
S01007143,One family household: All aged 65 and over,7,7,6,1,0,0,0,0,0,0,0
S01007143,One family household: Couple family,170,169,142,19,6,2,0,1,0,0,0
S01007143,One family household: Lone parent,14,14,13,1,0,0,0,0,0,0,0
S01007143,Other household types,5,5,5,0,0,0,0,0,0,0,0
S01007144,All households,240,238,210,14,0,14,0,2,0,0,0
S01007144,One person household,53,52,46,5,0,1,0,1,0,0,0
S01007144,One family household: Total,166,166,151,8,0,7,0,0,0,0,0
S01007144,One family household: All aged 65 and over,27,27,24,2,0,1,0,0,0,0,0
S01007144,One family household: Couple family,126,126,114,6,0,6,0,0,0,0,0
S01007144,One family household: Lone parent,13,13,13,0,0,0,0,0,0,0,0
S01007144,Other household types,21,20,13,1,0,6,0,1,0,0,0
S01007145,All households,408,398,370,24,4,0,0,9,0,0,1
S01007145,One person household,123,122,113,8,1,0,0,1,0,0,0
S01007145,One family household: Total,272,265,248,14,3,0,0,6,0,0,1
S01007145,One family household: All aged 65 and over,70,70,65,5,0,0,0,0,0,0,0
S01007145,One family household: Couple family,176,170,159,8,3,0,0,5,0,0,1
S01007145,One family household: Lone parent,26,25,24,1,0,0,0,1,0,0,0
S01007145,Other household types,13,11,9,2,0,0,0,2,0,0,0
S01007146,All households,334,329,299,26,0,4,2,3,0,0,0
S01007146,One person household,102,101,95,6,0,0,0,1,0,0,0
S01007146,One family household: Total,222,218,194,20,0,4,2,2,0,0,0
S01007146,One family household: All aged 65 and over,42,41,39,2,0,0,0,1,0,0,0
S01007146,One family household: Couple family,146,143,123,16,0,4,2,1,0,0,0
S01007146,One family household: Lone parent,34,34,32,2,0,0,0,0,0,0,0
S01007146,Other household types,10,10,10,0,0,0,0,0,0,0,0
S01007147,All households,305,298,272,20,5,1,1,6,0,0,0
S01007147,One person household,68,67,62,3,1,1,0,1,0,0,0
S01007147,One family household: Total,228,224,204,16,4,0,1,3,0,0,0
S01007147,One family household: All aged 65 and over,51,51,46,3,2,0,0,0,0,0,0
S01007147,One family household: Couple family,152,149,134,13,2,0,1,2,0,0,0
S01007147,One family household: Lone parent,25,24,24,0,0,0,0,1,0,0,0
S01007147,Other household types,9,7,6,1,0,0,0,2,0,0,0
S01007148,All households,204,194,176,17,0,1,0,9,1,0,0
S01007148,One person household,24,23,20,2,0,1,0,1,0,0,0
S01007148,One family household: Total,173,165,152,13,0,0,0,7,1,0,0
S01007148,One family household: All aged 65 and over,19,19,16,3,0,0,0,0,0,0,0
S01007148,One family household: Couple family,138,130,120,10,0,0,0,7,1,0,0
S01007148,One family household: Lone parent,16,16,16,0,0,0,0,0,0,0,0
S01007148,Other household types,7,6,4,2,0,0,0,1,0,0,0
S01007149,All households,237,234,218,12,3,1,0,2,1,0,0
S01007149,One person household,55,55,52,3,0,0,0,0,0,0,0
S01007149,One family household: Total,178,176,163,9,3,1,0,1,1,0,0
S01007149,One family household: All aged 65 and over,45,45,42,3,0,0,0,0,0,0,0
S01007149,One family household: Couple family,123,122,112,6,3,1,0,1,0,0,0
S01007149,One family household: Lone parent,10,9,9,0,0,0,0,0,1,0,0
S01007149,Other household types,4,3,3,0,0,0,0,1,0,0,0
S01007150,All households,350,344,320,18,1,5,0,6,0,0,0
S01007150,One person household,120,119,115,3,0,1,0,1,0,0,0
S01007150,One family household: Total,225,221,202,15,1,3,0,4,0,0,0
S01007150,One family household: All aged 65 and over,80,80,71,6,1,2,0,0,0,0,0
S01007150,One family household: Couple family,131,127,119,7,0,1,0,4,0,0,0
S01007150,One family household: Lone parent,14,14,12,2,0,0,0,0,0,0,0
S01007150,Other household types,5,4,3,0,0,1,0,1,0,0,0
S01007151,All households,331,327,294,28,2,3,0,3,1,0,0
S01007151,One person household,71,70,61,8,0,1,0,1,0,0,0
S01007151,One family household: Total,249,247,225,19,1,2,0,1,1,0,0
S01007151,One family household: All aged 65 and over,30,30,23,6,1,0,0,0,0,0,0
S01007151,One family household: Couple family,199,197,184,11,0,2,0,1,1,0,0
S01007151,One family household: Lone parent,20,20,18,2,0,0,0,0,0,0,0
S01007151,Other household types,11,10,8,1,1,0,0,1,0,0,0
S01007152,All households,237,236,220,14,0,2,1,0,0,0,0
S01007152,One person household,68,67,63,3,0,1,1,0,0,0,0
S01007152,One family household: Total,163,163,152,11,0,0,0,0,0,0,0
S01007152,One family household: All aged 65 and over,30,30,26,4,0,0,0,0,0,0,0
S01007152,One family household: Couple family,118,118,111,7,0,0,0,0,0,0,0
S01007152,One family household: Lone parent,15,15,15,0,0,0,0,0,0,0,0
S01007152,Other household types,6,6,5,0,0,1,0,0,0,0,0
S01007153,All households,286,286,265,18,1,2,0,0,0,0,0
S01007153,One person household,83,83,81,1,1,0,0,0,0,0,0
S01007153,One family household: Total,199,199,181,16,0,2,0,0,0,0,0
S01007153,One family household: All aged 65 and over,43,43,42,1,0,0,0,0,0,0,0
S01007153,One family household: Couple family,136,136,121,13,0,2,0,0,0,0,0
S01007153,One family household: Lone parent,20,20,18,2,0,0,0,0,0,0,0
S01007153,Other household types,4,4,3,1,0,0,0,0,0,0,0
S01007154,All households,453,448,417,26,1,4,0,4,1,0,0
S01007154,One person household,250,249,235,12,0,2,0,1,0,0,0
S01007154,One family household: Total,197,193,177,14,1,1,0,3,1,0,0
S01007154,One family household: All aged 65 and over,50,50,47,3,0,0,0,0,0,0,0
S01007154,One family household: Couple family,119,116,104,11,0,1,0,2,1,0,0
S01007154,One family household: Lone parent,28,27,26,0,1,0,0,1,0,0,0
S01007154,Other household types,6,6,5,0,0,1,0,0,0,0,0
S01007155,All households,305,303,280,14,4,5,0,1,0,0,1
S01007155,One person household,107,105,97,5,2,1,0,1,0,0,1
S01007155,One family household: Total,191,191,177,8,2,4,0,0,0,0,0
S01007155,One family household: All aged 65 and over,45,45,40,4,1,0,0,0,0,0,0
S01007155,One family household: Couple family,127,127,119,3,1,4,0,0,0,0,0
S01007155,One family household: Lone parent,19,19,18,1,0,0,0,0,0,0,0
S01007155,Other household types,7,7,6,1,0,0,0,0,0,0,0
S01007156,All households,308,308,285,19,2,2,0,0,0,0,0
S01007156,One person household,71,71,68,3,0,0,0,0,0,0,0
S01007156,One family household: Total,225,225,208,13,2,2,0,0,0,0,0
S01007156,One family household: All aged 65 and over,28,28,26,0,1,1,0,0,0,0,0
S01007156,One family household: Couple family,167,167,154,12,1,0,0,0,0,0,0
S01007156,One family household: Lone parent,30,30,28,1,0,1,0,0,0,0,0
S01007156,Other household types,12,12,9,3,0,0,0,0,0,0,0
S01007157,All households,279,277,257,19,0,1,0,1,0,1,0
S01007157,One person household,80,80,74,6,0,0,0,0,0,0,0
S01007157,One family household: Total,187,186,173,12,0,1,0,0,0,1,0
S01007157,One family household: All aged 65 and over,14,14,13,1,0,0,0,0,0,0,0
S01007157,One family household: Couple family,127,126,115,11,0,0,0,0,0,1,0
S01007157,One family household: Lone parent,46,46,45,0,0,1,0,0,0,0,0
S01007157,Other household types,12,11,10,1,0,0,0,1,0,0,0
S01007158,All households,386,383,340,29,5,9,0,2,0,0,1
S01007158,One person household,95,95,85,6,3,1,0,0,0,0,0
S01007158,One family household: Total,279,277,246,22,2,7,0,1,0,0,1
S01007158,One family household: All aged 65 and over,24,24,22,1,1,0,0,0,0,0,0
S01007158,One family household: Couple family,225,223,195,20,1,7,0,1,0,0,1
S01007158,One family household: Lone parent,30,30,29,1,0,0,0,0,0,0,0
S01007158,Other household types,12,11,9,1,0,1,0,1,0,0,0
S01007159,All households,407,401,367,26,6,2,1,1,2,1,1
S01007159,One person household,142,140,132,6,2,0,0,0,0,1,1
S01007159,One family household: Total,251,247,221,20,4,2,1,1,2,0,0
S01007159,One family household: All aged 65 and over,34,34,33,1,0,0,0,0,0,0,0
S01007159,One family household: Couple family,149,145,123,17,3,2,1,1,2,0,0
S01007159,One family household: Lone parent,68,68,65,2,1,0,0,0,0,0,0
S01007159,Other household types,14,14,14,0,0,0,0,0,0,0,0
S01007160,All households,377,374,355,15,1,3,1,2,0,0,0
S01007160,One person household,116,115,111,3,0,1,1,0,0,0,0
S01007160,One family household: Total,252,250,236,11,1,2,0,2,0,0,0
S01007160,One family household: All aged 65 and over,33,33,30,2,1,0,0,0,0,0,0
S01007160,One family household: Couple family,154,152,144,7,0,1,0,2,0,0,0
S01007160,One family household: Lone parent,65,65,62,2,0,1,0,0,0,0,0
S01007160,Other household types,9,9,8,1,0,0,0,0,0,0,0
S01007161,All households,317,316,285,27,1,3,0,0,0,1,0
S01007161,One person household,96,96,89,7,0,0,0,0,0,0,0
S01007161,One family household: Total,209,208,185,19,1,3,0,0,0,1,0
S01007161,One family household: All aged 65 and over,34,34,32,2,0,0,0,0,0,0,0
S01007161,One family household: Couple family,134,133,116,15,1,1,0,0,0,1,0
S01007161,One family household: Lone parent,41,41,37,2,0,2,0,0,0,0,0
S01007161,Other household types,12,12,11,1,0,0,0,0,0,0,0
S01007162,All households,271,269,242,17,4,6,0,2,0,0,0
S01007162,One person household,114,113,101,10,2,0,0,1,0,0,0
S01007162,One family household: Total,145,144,131,6,2,5,0,1,0,0,0
