time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Episodes_with_assessment_factor,Alcohol_Misuse_child,Alcohol_Misuse_parent,Alcohol_Misuse_person,Drug_Misuse_child,Drug_Misuse_parent,Drug_Misuse_person,Domestic_Violence_child,Domestic_Violence_parent,Domestic_Violence_person,Mental_Health_child,Mental_Health_parent,Mental_Health_person,Learning_Disability_child,Learning_Disability_parent,Learning_Disability_person,Physical_Disability_child,Physical_Disability_parent,Physical_Disability_person,Young_Carer,Privately_fostered,Unaccompanied_asylum_seeker,Going_missing,Child_sexual_exploitation,Trafficking,Gangs,Socially_unacceptable_behaviour,Self_harm,Neglect,Emotional_Abuse,Physical_Abuse,Sexual_Abuse,Female_Genital_Mutilation,Faith_linked_abuse,Other
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Factors identified at the end of assessment,3016,98,577,102,287,598,171,525,1136,155,829,1435,212,358,117,50,201,246,28,289,29,13,226,192,26,131,407,241,663,1013,334,346,14,7,304
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Factors identified at the end of assessment,16826,70,671,30,257,601,71,374,1903,128,661,1310,71,1016,85,38,459,113,21,137,16,24,72,190,20,61,453,206,3530,1541,1560,585,c,c,7222
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Factors identified at the end of assessment,2419,53,250,23,96,287,38,48,526,24,190,500,42,231,35,95,131,77,49,25,c,6,21,73,c,8,101,34,546,435,339,147,0,0,476
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Factors identified at the end of assessment,18797,2017,2456,841,2362,2397,1055,6796,6962,2180,4919,6290,1410,2709,676,264,1764,1512,372,910,48,327,501,329,57,311,1504,924,1904,2234,2174,1098,9,33,2341
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Factors identified at the end of assessment,4576,192,622,174,340,559,187,987,1925,461,515,1178,167,309,106,24,99,169,44,101,0,c,118,182,9,108,478,169,765,916,690,250,c,0,1008
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Factors identified at the end of assessment,2765,81,407,47,209,398,71,259,867,80,641,1119,108,351,109,47,148,226,19,209,34,29,148,104,13,174,368,248,493,530,300,138,c,9,516
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Factors identified at the end of assessment,5277,211,987,211,419,735,273,650,1758,335,1243,1916,273,552,105,43,250,340,75,338,6,30,315,183,38,119,660,433,737,860,695,230,0,0,1098
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Factors identified at the end of assessment,2409,11,115,7,51,121,25,108,531,59,80,197,16,71,16,10,49,17,c,c,9,75,31,46,c,39,45,8,677,274,196,83,c,c,209
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Factors identified at the end of assessment,2263,51,222,79,134,214,92,344,700,233,277,607,89,187,51,42,104,105,27,85,c,0,117,85,28,59,376,103,256,454,329,112,11,10,507
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Factors identified at the end of assessment,1907,39,249,46,138,206,59,117,644,125,262,500,84,166,35,12,65,78,26,14,0,c,96,95,21,177,262,103,359,431,325,81,0,0,149
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Factors identified at the end of assessment,4095,65,708,184,206,690,265,402,1381,451,635,1530,389,736,167,155,275,141,60,224,17,15,151,137,26,138,282,192,1035,1322,679,197,6,49,872
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Factors identified at the end of assessment,7639,200,1202,151,428,956,247,809,2284,323,1668,2411,334,1225,223,144,465,389,103,708,25,69,287,303,52,154,769,628,1009,1356,710,322,9,24,1411
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Factors identified at the end of assessment,1423,c,153,14,45,117,12,51,360,9,106,274,21,93,19,c,35,30,c,7,0,6,18,29,0,c,46,c,169,65,43,28,0,0,329
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Factors identified at the end of assessment,7810,293,1253,317,570,1029,437,1165,2846,937,1002,2806,485,466,200,86,276,447,116,260,42,48,61,253,19,143,989,450,1539,1916,907,537,c,18,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Factors identified at the end of assessment,1154,9,111,c,24,113,16,89,322,51,134,198,19,80,24,c,49,35,7,16,0,0,16,44,c,16,77,41,108,121,226,133,8,c,96
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Factors identified at the end of assessment,1449,44,195,56,106,144,57,213,437,108,156,360,118,225,12,19,77,52,16,38,8,0,52,43,c,27,158,84,239,301,180,98,c,0,134
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Factors identified at the end of assessment,714,39,148,17,66,130,17,97,263,24,146,263,21,92,15,6,48,26,c,66,30,c,43,68,c,21,98,61,155,169,70,39,0,c,163
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,Bournemouth Christchurch and Poole,Factors identified at the end of assessment,1437,26,191,70,68,135,71,155,376,170,133,325,62,57,27,7,39,29,8,21,11,37,37,28,c,12,49,30,225,151,117,40,c,0,585
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Factors identified at the end of assessment,2856,41,582,68,193,670,175,480,1183,186,641,1405,254,463,158,81,226,281,64,257,15,19,88,104,23,141,319,237,516,813,326,116,15,28,42
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Factors identified at the end of assessment,3678,63,579,63,138,389,67,111,1064,167,396,1017,111,287,88,97,171,127,44,92,7,c,34,85,6,22,182,95,662,472,64,169,c,c,724
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Factors identified at the end of assessment,2686,59,447,103,127,347,132,121,940,244,278,1083,190,283,89,63,351,142,47,139,11,15,65,69,11,29,189,118,658,622,228,97,0,c,510
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Factors identified at the end of assessment,2948,76,471,113,135,380,157,386,914,274,273,857,198,129,59,36,69,119,30,22,8,c,58,109,c,11,167,72,721,672,469,273,0,c,575
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Factors identified at the end of assessment,5187,189,1219,205,433,1164,334,916,2309,402,1293,2577,366,454,284,90,230,412,69,539,38,15,357,380,36,171,720,533,1471,1999,1065,394,6,16,484
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Factors identified at the end of assessment,13,0,c,0,0,0,0,0,c,0,c,c,0,c,0,0,c,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Factors identified at the end of assessment,926,0,191,26,94,179,42,131,335,32,194,344,56,98,49,18,49,81,13,61,c,0,33,43,7,7,89,77,129,157,86,38,0,8,193
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Factors identified at the end of assessment,2878,99,425,157,186,470,184,342,1203,398,531,1357,325,203,139,56,98,219,52,174,23,14,112,139,13,50,234,180,970,993,748,343,6,c,110
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Factors identified at the end of assessment,2330,58,473,79,146,448,75,264,848,104,313,855,113,250,78,25,98,109,23,69,0,7,60,109,18,35,140,123,281,422,201,181,9,c,436
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Factors identified at the end of assessment,1994,45,284,58,100,239,64,286,628,131,194,582,105,129,48,48,148,122,32,47,c,c,63,70,c,36,164,74,444,532,0,0,0,c,503
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Factors identified at the end of assessment,2706,52,402,59,228,378,134,423,879,118,641,891,198,314,75,60,204,168,61,172,42,10,153,126,19,137,330,133,561,585,395,158,6,21,68
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Factors identified at the end of assessment,1573,100,316,76,152,243,88,286,645,176,253,615,118,191,93,66,70,138,46,153,9,c,98,93,6,88,233,109,363,453,208,81,0,6,233
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Factors identified at the end of assessment,3401,134,666,138,228,689,208,448,1379,238,603,1425,208,480,147,51,214,231,30,248,8,33,173,234,44,112,369,342,727,785,481,201,c,21,319
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Factors identified at the end of assessment,1309,7,185,17,44,186,22,79,455,40,171,397,22,177,29,16,86,73,13,28,8,39,27,29,11,62,66,50,163,257,193,38,c,11,156
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Factors identified at the end of assessment,57,0,c,0,c,c,c,c,c,c,8,20,c,11,c,0,9,c,7,13,0,c,0,0,0,c,c,c,6,10,c,c,0,0,8
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Factors identified at the end of assessment,4844,24,261,27,142,251,56,282,1310,246,401,894,118,439,78,25,236,225,58,103,30,34,121,114,9,178,313,137,1319,588,811,148,33,10,1836
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Factors identified at the end of assessment,1308,9,113,c,49,115,27,60,321,22,189,288,28,133,12,0,46,44,c,12,c,29,64,32,10,72,129,49,153,180,194,24,c,c,400
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Factors identified at the end of assessment,2486,39,170,35,90,128,50,313,637,224,171,374,82,197,26,61,195,118,48,24,11,29,73,75,10,157,229,92,244,357,443,107,7,c,481
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Factors identified at the end of assessment,1872,29,220,42,122,249,67,247,718,106,360,638,117,169,52,15,62,107,21,65,c,38,96,88,50,201,196,137,234,391,275,54,10,24,190
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Factors identified at the end of assessment,1230,13,85,9,36,69,c,118,217,23,151,196,10,23,0,0,92,49,8,21,30,0,30,37,6,30,120,72,0,0,0,c,c,c,1096
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Factors identified at the end of assessment,3051,23,216,59,173,188,123,320,887,373,343,683,141,377,67,62,154,238,76,85,8,34,132,112,20,207,445,117,296,593,389,110,0,0,695
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Factors identified at the end of assessment,3518,29,305,38,125,326,54,251,1057,96,380,857,96,370,100,51,154,128,20,172,13,27,139,107,51,155,303,197,450,527,408,65,c,17,852
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Factors identified at the end of assessment,3809,23,311,13,110,276,30,181,1124,59,255,580,33,286,53,14,159,129,18,77,24,54,131,143,44,148,288,157,341,534,695,255,19,13,797
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Factors identified at the end of assessment,2740,47,243,74,168,220,125,435,785,322,392,669,151,347,78,66,214,247,60,88,39,39,189,109,28,166,405,148,363,681,393,132,7,29,1205
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Factors identified at the end of assessment,5061,92,257,25,243,307,48,253,1243,70,522,822,104,432,94,18,253,129,36,98,12,59,136,95,25,260,620,145,638,637,611,155,c,18,820
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Factors identified at the end of assessment,3191,21,183,11,87,162,30,69,706,77,256,567,64,172,18,12,72,131,10,55,10,25,43,68,7,97,642,59,417,164,163,36,c,0,824
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Factors identified at the end of assessment,1791,6,95,6,46,86,19,91,462,44,168,342,39,121,21,6,67,77,c,19,c,34,41,61,7,103,92,44,298,118,168,55,6,c,425
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Factors identified at the end of assessment,3494,62,405,68,190,343,94,343,1034,162,451,912,142,358,87,58,185,123,39,176,c,c,186,168,41,231,430,306,575,506,358,112,c,33,860
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Factors identified at the end of assessment,2174,38,266,42,171,232,59,279,724,117,441,634,89,210,53,23,59,115,28,105,c,31,146,100,25,166,255,153,293,525,411,128,c,22,279
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Factors identified at the end of assessment,2350,53,267,38,143,254,60,227,816,73,398,802,92,306,65,35,142,100,28,92,16,16,140,109,27,97,264,178,268,393,281,97,14,10,343
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Factors identified at the end of assessment,2956,26,243,0,89,181,78,343,777,218,144,480,128,245,47,57,97,c,0,31,7,32,64,59,8,112,c,51,390,675,445,85,14,15,727
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Factors identified at the end of assessment,3248,104,444,87,256,402,106,535,1261,314,712,1127,191,428,81,56,175,186,54,173,0,18,153,142,20,78,311,256,679,1035,381,125,15,16,197
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Factors identified at the end of assessment,3723,50,483,36,203,489,91,152,1339,80,404,981,57,613,124,30,278,191,31,217,22,74,165,92,36,103,391,130,498,923,490,185,0,0,251
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Factors identified at the end of assessment,3683,12,317,8,135,172,14,180,926,80,251,565,64,255,38,22,67,96,16,44,6,19,106,84,11,176,294,74,300,298,304,52,21,15,953
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Factors identified at the end of assessment,4636,0,528,81,191,472,131,637,1630,346,527,1185,190,408,138,55,181,240,57,170,17,30,136,145,54,260,420,177,656,875,812,149,16,22,764
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Factors identified at the end of assessment,3136,36,345,98,131,371,179,298,1011,303,333,970,138,348,121,28,250,268,71,70,c,25,103,96,17,162,521,197,411,649,372,113,c,20,979
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Factors identified at the end of assessment,2269,13,285,15,50,132,47,109,680,42,173,494,58,198,32,23,105,62,10,12,10,31,35,46,7,52,97,44,243,336,384,64,6,17,376
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Factors identified at the end of assessment,2097,35,268,26,121,243,46,145,654,105,277,588,81,189,37,34,88,96,25,83,c,20,116,88,11,110,233,88,306,307,274,73,c,7,353
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Factors identified at the end of assessment,3285,55,443,56,194,334,86,400,954,112,420,771,72,346,75,31,129,138,28,155,21,74,96,157,41,132,518,175,540,683,432,114,c,17,475
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Factors identified at the end of assessment,2884,30,332,17,141,304,18,202,985,49,267,559,26,224,56,10,91,69,9,83,7,35,71,126,12,81,207,90,378,212,305,86,c,26,609
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Factors identified at the end of assessment,1740,57,284,40,132,219,54,225,601,73,379,582,95,338,55,36,113,126,27,153,9,104,75,79,20,66,189,146,214,383,243,46,c,11,245
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Factors identified at the end of assessment,1455,16,160,53,55,83,25,140,411,135,154,361,68,132,26,10,36,90,16,46,c,c,58,58,6,45,152,101,145,381,272,49,0,0,313
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Factors identified at the end of assessment,3408,19,238,26,104,192,59,237,984,101,320,678,76,296,62,21,144,161,28,96,13,31,71,79,27,131,287,137,324,491,316,75,0,10,1062
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Factors identified at the end of assessment,1530,68,256,31,138,259,64,168,504,69,366,568,85,268,48,28,84,69,29,107,8,89,70,74,18,47,168,131,166,252,159,54,7,c,251
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Factors identified at the end of assessment,2058,33,294,0,86,229,0,301,715,0,339,677,0,189,16,0,90,134,0,46,15,c,65,52,8,25,188,177,322,633,427,83,c,c,252
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Factors identified at the end of assessment,2369,24,113,57,121,128,93,277,495,290,190,376,190,128,39,74,48,111,80,54,c,25,82,51,21,183,167,100,262,306,246,55,c,c,863
2019,Reporting year,National,E92000001,England,,,,,,Factors identified at the end of assessment,498870,12010,67250,11860,23710,64620,16550,62530,159970,30090,61830,135330,19970,44130,12660,6420,23580,23850,5340,16520,2280,3090,15740,18720,2490,10960,41130,22470,89730,105070,71080,30720,1000,1950,98660
2019,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Factors identified at the end of assessment,26600,740,4530,650,1080,4790,1010,2670,9550,1330,3680,8770,1140,2150,720,280,1260,1250,220,980,40,30,760,1010,130,280,2460,1330,5620,5340,3800,2060,80,70,6700
2019,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Factors identified at the end of assessment,74350,1750,12650,1790,3840,12500,2710,9970,26100,3990,10140,24520,2890,7240,2190,980,3650,3930,780,2630,230,250,2810,2890,300,1560,6050,3790,12550,18190,10210,4680,200,380,13200
2019,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Factors identified at the end of assessment,57850,910,6540,810,1960,6160,1320,6950,14380,2580,4950,11110,1430,3330,990,510,1940,1470,370,980,200,160,1400,1980,290,680,3100,1520,8830,10850,9160,4430,110,250,15230
2019,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Factors identified at the end of assessment,41440,830,5660,1080,1650,5540,1430,4590,14370,2640,5920,11870,1770,3070,1080,510,1840,2070,440,850,250,150,1020,1560,140,610,4330,1950,7750,9860,7210,3300,90,200,5950
2019,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Factors identified at the end of assessment,52080,1420,7920,1620,2690,7550,2080,7150,19120,4090,6070,15050,2520,4560,1400,750,2390,2330,600,1390,320,270,1720,2140,400,1140,3740,2410,10480,13970,8320,3190,150,250,8870
2019,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Factors identified at the end of assessment,38740,770,5580,1030,1850,5680,1600,5250,13560,2650,5580,13550,2100,4090,1240,680,2050,2250,560,1800,150,340,1360,1630,230,1050,3310,2150,8500,8550,5210,2400,70,180,5810
2019,Reporting year,Regional,E92000001,England,E12000007,London,,,,Factors identified at the end of assessment,83420,1250,7630,1120,3310,6750,1640,7750,24120,4140,8630,17330,2580,7750,1650,1010,3910,3760,800,2560,320,1110,3050,2900,570,3590,8080,3690,12430,13870,11110,3040,200,330,20650
2019,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Factors identified at the end of assessment,82730,3130,10070,2420,4980,9480,2990,12760,24960,5890,10510,18940,3160,8140,2030,960,4270,4100,960,3230,500,630,2130,2630,240,1290,6580,3350,14980,14670,10030,4750,60,160,15180
2019,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Factors identified at the end of assessment,41650,1210,6670,1320,2350,6170,1770,5440,13820,2770,6340,14190,2380,3800,1380,750,2280,2690,620,2110,280,160,1500,1990,190,750,3470,2290,8600,9770,6050,2880,60,140,7080
2019,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Factors identified at the end of assessment,34000,460,2420,430,1320,2400,650,3160,9350,1690,3270,6390,990,2910,590,390,1640,1650,350,860,160,440,1300,1110,230,1700,3430,1390,6100,5150,4660,1330,90,140,8500
2019,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Factors identified at the end of assessment,49420,790,5200,690,1980,4350,990,4590,14770,2460,5360,10950,1590,4840,1060,620,2270,2110,450,1700,160,670,1760,1790,340,1890,4660,2300,6330,8730,6440,1710,100,190,12150
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Factors identified at the end of assessment,694,25,137,15,29,164,32,101,259,35,92,276,36,55,27,8,32,30,10,45,c,c,25,26,c,c,64,31,188,193,111,67,c,c,75
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Factors identified at the end of assessment,5374,47,728,67,103,733,95,362,1826,211,368,1375,107,192,92,24,140,131,7,63,6,c,41,133,c,16,316,100,911,398,422,452,0,6,752
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Factors identified at the end of assessment,1678,119,358,38,114,327,46,260,651,80,176,560,54,227,67,18,145,95,20,122,c,c,80,60,7,13,296,125,330,373,312,195,c,7,926
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Factors identified at the end of assessment,1137,18,166,26,40,275,52,135,424,33,139,380,28,54,23,c,22,30,12,49,c,c,32,34,7,c,87,25,193,126,127,88,0,c,160
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Factors identified at the end of assessment,2065,27,319,36,76,472,93,235,709,104,279,708,57,194,83,17,136,56,14,79,10,c,41,53,29,17,140,91,455,564,301,99,8,18,439
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Factors identified at the end of assessment,4104,90,517,222,145,551,258,c,1468,298,591,1198,339,348,89,54,245,238,54,47,0,8,159,194,49,76,374,201,1190,1432,783,285,43,0,2867
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Factors identified at the end of assessment,957,66,237,21,53,228,33,103,436,37,181,418,36,108,36,14,41,60,9,90,0,c,38,35,0,14,55,48,167,188,102,36,c,c,57
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Factors identified at the end of assessment,3002,78,624,50,119,573,97,249,986,131,633,1286,130,263,78,34,142,249,32,131,c,c,75,107,c,8,292,194,516,507,309,174,c,6,650
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Factors identified at the end of assessment,1263,38,314,43,64,370,69,245,456,96,200,493,63,95,33,34,53,67,11,60,c,9,48,66,c,21,97,69,357,280,260,116,c,c,147
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Factors identified at the end of assessment,933,56,164,19,53,171,29,201,380,47,236,426,73,88,48,c,55,64,c,72,0,c,63,55,c,29,129,100,271,225,106,25,0,0,112
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Factors identified at the end of assessment,2456,37,392,45,82,444,83,344,912,103,239,666,100,148,54,34,74,92,22,74,c,c,45,61,c,26,104,48,448,512,560,277,0,c,286
2019,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Factors identified at the end of assessment,2934,137,576,71,202,481,125,433,1041,157,546,979,114,376,89,35,173,136,21,144,c,c,110,189,15,54,502,296,590,540,405,245,12,16,227
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Factors identified at the end of assessment,2493,88,501,33,119,503,83,250,986,94,319,896,87,192,64,17,127,127,12,63,7,c,61,93,10,16,198,109,327,487,262,123,19,7,244
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Factors identified at the end of assessment,2580,35,486,99,93,438,135,341,893,243,238,989,152,256,128,49,155,168,35,81,c,0,87,119,7,16,196,80,481,579,206,232,c,c,507
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Factors identified at the end of assessment,2613,53,486,48,122,498,76,394,927,98,249,808,78,215,81,28,117,131,11,58,14,14,114,116,12,55,170,103,576,708,560,256,34,38,258
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Factors identified at the end of assessment,2099,54,387,60,132,326,68,325,788,110,421,765,85,302,74,54,157,172,44,141,c,12,93,96,c,36,212,141,376,437,227,83,9,16,178
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Factors identified at the end of assessment,1987,59,323,43,124,296,65,293,727,100,400,668,91,230,67,48,91,134,22,121,15,13,113,133,11,63,237,144,459,544,301,177,0,c,270
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Factors identified at the end of assessment,2066,56,429,62,117,452,90,348,938,119,382,921,140,255,69,27,115,146,31,141,14,c,105,82,c,47,209,149,328,581,294,87,c,15,174
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Factors identified at the end of assessment,3267,98,657,84,135,596,109,490,1120,162,580,1383,182,403,89,60,193,191,52,265,0,c,127,152,c,20,279,228,643,791,360,203,0,0,427
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Factors identified at the end of assessment,1400,22,223,43,50,259,76,140,574,120,110,449,56,166,57,31,85,96,22,62,c,c,46,45,c,13,59,47,261,376,203,80,0,0,211
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Factors identified at the end of assessment,1541,26,314,27,152,384,78,209,623,59,201,620,59,187,61,22,73,97,13,68,11,c,97,59,19,138,173,78,166,326,164,71,0,c,382
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Factors identified at the end of assessment,11886,303,2562,316,744,2647,506,1997,4525,508,2082,4999,460,1557,488,195,738,914,160,542,41,18,483,624,45,207,1111,841,2353,3956,1898,920,27,111,1684
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Factors identified at the end of assessment,6936,87,764,103,259,789,106,472,1679,213,502,1188,151,227,133,35,126,144,25,78,c,72,167,133,53,216,397,167,579,888,487,186,19,42,3572
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Factors identified at the end of assessment,7473,145,609,136,347,605,168,922,1891,441,683,1533,253,352,69,45,194,259,47,48,29,43,268,169,34,192,680,225,1212,1821,1448,398,27,43,1324
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Factors identified at the end of assessment,3490,84,359,88,109,275,92,384,1052,236,195,625,102,137,27,13,93,139,9,40,6,c,123,85,14,45,231,81,349,590,489,159,8,11,640
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Factors identified at the end of assessment,2260,62,485,80,180,523,97,339,1027,151,361,923,103,205,87,31,112,138,25,55,7,11,146,139,19,68,212,117,504,607,256,103,c,14,281
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Factors identified at the end of assessment,3181,85,587,76,186,623,188,578,1511,363,461,1315,208,367,86,44,245,232,30,92,c,7,94,54,c,92,180,150,478,1060,405,215,0,0,115
2019,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Factors identified at the end of assessment,2256,64,495,76,148,470,103,399,982,129,507,874,103,206,51,33,98,108,38,72,c,c,98,85,c,98,219,214,380,593,294,121,6,c,313
