time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_End_first_6months,3_months,3_months_percent,3_months_transfer,3_months_transfer_percent,3_6_months,3_6_months_percent,6_months+,6_months+_percent
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans ending during the first six months of the year,100,21,21,0,0,15,15,64,64
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans ending during the first six months of the year,204,73,35.8,13,17.8,33,16.2,98,48
2018,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans ending during the first six months of the year,345,144,41.7,c,c,73,21.2,128,37.1
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans ending during the first six months of the year,215,93,43.3,13,14,49,22.8,73,34
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans ending during the first six months of the year,257,125,48.6,18,14.4,34,13.2,98,38.1
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans ending during the first six months of the year,130,30,23.1,8,26.7,27,20.8,73,56.2
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans ending during the first six months of the year,86,27,31.4,c,c,19,22.1,40,46.5
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans ending during the first six months of the year,210,78,37.1,7,9,34,16.2,98,46.7
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans ending during the first six months of the year,167,39,23.4,c,c,55,32.9,73,43.7
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Child Protection Plans ending during the first six months of the year,333,117,35.1,c,c,84,25.2,132,39.6
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Child Protection Plans ending during the first six months of the year,89,11,12.4,c,c,12,13.5,66,74.2
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Child Protection Plans ending during the first six months of the year,125,53,42.4,11,20.8,46,36.8,26,20.8
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Child Protection Plans ending during the first six months of the year,874,427,48.9,27,6.3,113,12.9,334,38.2
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Child Protection Plans ending during the first six months of the year,270,133,49.3,11,8.3,16,5.9,121,44.8
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Child Protection Plans ending during the first six months of the year,623,158,25.4,41,25.9,202,32.4,263,42.2
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Child Protection Plans ending during the first six months of the year,206,53,25.7,16,30.2,54,26.2,99,48.1
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Child Protection Plans ending during the first six months of the year,100,19,19,c,c,25,25,56,56
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Child Protection Plans ending during the first six months of the year,290,86,29.7,c,c,77,26.6,127,43.8
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Child Protection Plans ending during the first six months of the year,184,66,35.9,0,0,20,10.9,98,53.3
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Child Protection Plans ending during the first six months of the year,124,27,21.8,7,25.9,42,33.9,55,44.4
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Child Protection Plans ending during the first six months of the year,164,53,32.3,8,15.1,30,18.3,81,49.4
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Child Protection Plans ending during the first six months of the year,179,48,26.8,10,20.8,53,29.6,78,43.6
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Child Protection Plans ending during the first six months of the year,134,33,24.6,c,c,31,23.1,70,52.2
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Child Protection Plans ending during the first six months of the year,165,36,21.8,c,c,35,21.2,94,57
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Child Protection Plans ending during the first six months of the year,183,92,50.3,6,6.5,25,13.7,66,36.1
2018,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Child Protection Plans ending during the first six months of the year,255,56,22,c,c,84,32.9,115,45.1
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Child Protection Plans ending during the first six months of the year,167,62,37.1,6,9.7,40,24,65,38.9
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Child Protection Plans ending during the first six months of the year,288,56,19.4,15,26.8,80,27.8,152,52.8
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Child Protection Plans ending during the first six months of the year,138,57,41.3,6,10.5,23,16.7,58,42
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Child Protection Plans ending during the first six months of the year,296,112,37.8,7,6.3,75,25.3,109,36.8
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Child Protection Plans ending during the first six months of the year,141,52,36.9,c,c,49,34.8,40,28.4
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Child Protection Plans ending during the first six months of the year,249,38,15.3,10,26.3,50,20.1,161,64.7
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Child Protection Plans ending during the first six months of the year,277,126,45.5,0,0,62,22.4,89,32.1
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Child Protection Plans ending during the first six months of the year,341,139,40.8,15,10.8,58,17,144,42.2
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Child Protection Plans ending during the first six months of the year,127,16,12.6,c,c,17,13.4,94,74
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Child Protection Plans ending during the first six months of the year,73,25,34.2,9,36,10,13.7,38,52.1
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Child Protection Plans ending during the first six months of the year,215,105,48.8,28,26.7,44,20.5,66,30.7
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Child Protection Plans ending during the first six months of the year,240,82,34.2,16,19.5,56,23.3,102,42.5
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Child Protection Plans ending during the first six months of the year,308,128,41.6,20,15.6,62,20.1,118,38.3
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Child Protection Plans ending during the first six months of the year,131,42,32.1,c,c,21,16,68,51.9
2018,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Child Protection Plans ending during the first six months of the year,107,60,56.1,c,c,10,9.3,37,34.6
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Child Protection Plans ending during the first six months of the year,200,50,25,c,c,52,26,98,49
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Child Protection Plans ending during the first six months of the year,492,89,18.1,c,c,114,23.2,289,58.7
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Child Protection Plans ending during the first six months of the year,203,59,29.1,8,13.6,36,17.7,108,53.2
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Child Protection Plans ending during the first six months of the year,251,6,2.4,0,0,17,6.8,222,88.4
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Child Protection Plans ending during the first six months of the year,287,77,26.8,12,15.6,55,19.2,155,54
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Child Protection Plans ending during the first six months of the year,576,228,39.6,0,0,116,20.1,232,40.3
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Child Protection Plans ending during the first six months of the year,290,130,44.8,c,c,76,26.2,80,27.6
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Child Protection Plans ending during the first six months of the year,479,239,49.9,8,3.3,102,21.3,138,28.8
2018,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Child Protection Plans ending during the first six months of the year,13,c,c,c,c,c,c,6,46.2
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Child Protection Plans ending during the first six months of the year,833,438,52.6,6,1.4,111,13.3,284,34.1
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Child Protection Plans ending during the first six months of the year,297,96,32.3,12,12.5,46,15.5,155,52.2
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Child Protection Plans ending during the first six months of the year,292,69,23.6,c,c,91,31.2,132,45.2
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Child Protection Plans ending during the first six months of the year,94,16,17,0,0,8,8.5,70,74.5
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Child Protection Plans ending during the first six months of the year,222,68,30.6,7,10.3,52,23.4,102,45.9
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Child Protection Plans ending during the first six months of the year,153,29,19,0,0,36,23.5,88,57.5
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Child Protection Plans ending during the first six months of the year,127,79,62.2,c,c,10,7.9,38,29.9
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Child Protection Plans ending during the first six months of the year,387,99,25.6,17,17.2,89,23,199,51.4
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Child Protection Plans ending during the first six months of the year,241,91,37.8,20,22,46,19.1,104,43.2
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Child Protection Plans ending during the first six months of the year,200,109,54.5,c,c,22,11,69,34.5
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Child Protection Plans ending during the first six months of the year,256,59,23,13,22,86,33.6,111,43.4
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Child Protection Plans ending during the first six months of the year,245,52,21.2,0,0,42,17.1,151,61.6
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Child Protection Plans ending during the first six months of the year,192,79,41.1,0,0,40,20.8,73,38
2018,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Child Protection Plans ending during the first six months of the year,393,141,35.9,11,7.8,81,20.6,171,43.5
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Child Protection Plans ending during the first six months of the year,117,21,17.9,0,0,22,18.8,74,63.2
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Child Protection Plans ending during the first six months of the year,335,79,23.6,18,22.8,92,27.5,164,49
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Child Protection Plans ending during the first six months of the year,108,24,22.2,7,29.2,17,15.7,67,62
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Child Protection Plans ending during the first six months of the year,372,102,27.4,18,17.6,86,23.1,184,49.5
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Child Protection Plans ending during the first six months of the year,343,90,26.2,23,25.6,77,22.4,176,51.3
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Child Protection Plans ending during the first six months of the year,163,51,31.3,c,c,30,18.4,82,50.3
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Child Protection Plans ending during the first six months of the year,420,130,31,c,c,87,20.7,203,48.3
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Child Protection Plans ending during the first six months of the year,170,34,20,9,26.5,57,33.5,79,46.5
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Child Protection Plans ending during the first six months of the year,122,29,23.8,14,48.3,28,23,65,53.3
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Child Protection Plans ending during the first six months of the year,255,70,27.5,c,c,75,29.4,110,43.1
2018,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Child Protection Plans ending during the first six months of the year,132,7,5.3,0,0,44,33.3,81,61.4
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Child Protection Plans ending during the first six months of the year,119,25,21,9,36,25,21,69,58
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Child Protection Plans ending during the first six months of the year,192,54,28.1,0,0,32,16.7,106,55.2
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Child Protection Plans ending during the first six months of the year,300,110,36.7,12,10.9,87,29,103,34.3
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Child Protection Plans ending during the first six months of the year,247,44,17.8,11,25,64,25.9,139,56.3
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Child Protection Plans ending during the first six months of the year,735,228,31,c,c,183,24.9,324,44.1
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Child Protection Plans ending during the first six months of the year,126,41,32.5,0,0,32,25.4,53,42.1
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Child Protection Plans ending during the first six months of the year,560,126,22.5,39,31,226,40.4,208,37.1
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Child Protection Plans ending during the first six months of the year,154,38,24.7,11,28.9,34,22.1,82,53.2
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Child Protection Plans ending during the first six months of the year,66,10,15.2,c,c,10,15.2,46,69.7
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Child Protection Plans ending during the first six months of the year,332,75,22.6,7,9.3,54,16.3,203,61.1
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Child Protection Plans ending during the first six months of the year,114,19,16.7,c,c,38,33.3,57,50
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Child Protection Plans ending during the first six months of the year,234,69,29.5,13,18.8,47,20.1,118,50.4
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Child Protection Plans ending during the first six months of the year,100,28,28,c,c,33,33,38,38
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Child Protection Plans ending during the first six months of the year,198,46,23.2,0,0,49,24.7,103,52
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Child Protection Plans ending during the first six months of the year,464,191,41.2,12,6.3,110,23.7,163,35.1
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Child Protection Plans ending during the first six months of the year,103,28,27.2,c,c,28,27.2,47,45.6
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Child Protection Plans ending during the first six months of the year,338,77,22.8,9,11.7,87,25.7,174,51.5
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Child Protection Plans ending during the first six months of the year,86,c,c,0,0,c,c,60,69.8
2018,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Child Protection Plans ending during the first six months of the year,17,c,c,c,c,c,c,9,52.9
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Child Protection Plans ending during the first six months of the year,71,7,9.9,c,c,8,11.3,56,78.9
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,Child Protection Plans ending during the first six months of the year,111,61,55,0,0,26,23.4,24,21.6
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Child Protection Plans ending during the first six months of the year,291,79,27.1,9,11.4,80,27.5,132,45.4
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Child Protection Plans ending during the first six months of the year,241,67,27.8,11,16.4,30,12.4,144,59.8
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Child Protection Plans ending during the first six months of the year,300,87,29,8,9.2,47,15.7,166,55.3
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Child Protection Plans ending during the first six months of the year,305,139,45.6,13,9.4,66,21.6,100,32.8
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Child Protection Plans ending during the first six months of the year,292,64,21.9,10,15.6,87,29.8,141,48.3
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles Of Scilly,Child Protection Plans ending during the first six months of the year,0,0,0,0,0,0,0,0,0
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Child Protection Plans ending during the first six months of the year,101,24,23.8,c,c,25,24.8,52,51.5
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Child Protection Plans ending during the first six months of the year,160,31,19.4,0,0,23,14.4,106,66.3
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Child Protection Plans ending during the first six months of the year,56,7,12.5,0,0,14,25,35,62.5
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Child Protection Plans ending during the first six months of the year,243,80,32.9,c,c,57,23.5,106,43.6
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Child Protection Plans ending during the first six months of the year,114,44,38.6,7,15.9,12,10.5,58,50.9
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Child Protection Plans ending during the first six months of the year,174,28,16.1,c,c,17,9.8,129,74.1
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Child Protection Plans ending during the first six months of the year,149,71,47.7,0,0,34,22.8,44,29.5
2018,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Child Protection Plans ending during the first six months of the year,260,94,36.2,9,9.6,68,26.2,98,37.7
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Child Protection Plans ending during the first six months of the year,138,57,41.3,16,28.1,32,23.2,49,35.5
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Child Protection Plans ending during the first six months of the year,c,c,c,c,c,0,0,c,c
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Child Protection Plans ending during the first six months of the year,180,28,15.6,14,50,23,12.8,129,71.7
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Child Protection Plans ending during the first six months of the year,55,13,23.6,0,0,13,23.6,29,52.7
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Child Protection Plans ending during the first six months of the year,181,79,43.6,33,41.8,38,21,64,35.4
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Child Protection Plans ending during the first six months of the year,127,43,33.9,15,34.9,17,13.4,67,52.8
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Child Protection Plans ending during the first six months of the year,50,8,16,c,c,13,26,29,58
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Child Protection Plans ending during the first six months of the year,97,12,12.4,8,66.7,17,17.5,68,70.1
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Child Protection Plans ending during the first six months of the year,158,37,23.4,18,48.6,20,12.7,101,63.9
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Child Protection Plans ending during the first six months of the year,152,62,40.8,7,11.3,35,23,55,36.2
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Child Protection Plans ending during the first six months of the year,190,38,20,21,55.3,38,20,114,60
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Child Protection Plans ending during the first six months of the year,202,32,15.8,c,c,41,20.3,129,63.9
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Child Protection Plans ending during the first six months of the year,205,31,15.1,c,c,44,21.5,130,63.4
2018,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Child Protection Plans ending during the first six months of the year,50,c,c,0,0,c,c,32,64
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Child Protection Plans ending during the first six months of the year,157,30,19.1,c,c,45,28.7,82,52.2
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Child Protection Plans ending during the first six months of the year,128,42,32.8,11,26.2,34,26.6,52,40.6
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Child Protection Plans ending during the first six months of the year,124,60,48.4,13,21.7,29,23.4,35,28.2
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Child Protection Plans ending during the first six months of the year,136,52,38.2,c,c,39,28.7,45,33.1
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Child Protection Plans ending during the first six months of the year,234,53,22.6,23,43.4,55,23.5,126,53.8
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Child Protection Plans ending during the first six months of the year,231,76,32.9,26,34.2,41,17.7,114,49.4
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Child Protection Plans ending during the first six months of the year,129,40,31,10,25,38,29.5,51,39.5
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Child Protection Plans ending during the first six months of the year,162,48,29.6,15,31.3,36,22.2,78,48.1
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Child Protection Plans ending during the first six months of the year,175,49,28,c,c,55,31.4,71,40.6
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Child Protection Plans ending during the first six months of the year,145,30,20.7,13,43.3,48,33.1,67,46.2
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Child Protection Plans ending during the first six months of the year,148,32,21.6,11,34.4,41,27.7,75,50.7
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Child Protection Plans ending during the first six months of the year,235,102,43.4,25,24.5,45,19.1,88,37.4
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Child Protection Plans ending during the first six months of the year,122,38,31.1,14,36.8,25,20.5,59,48.4
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Child Protection Plans ending during the first six months of the year,100,18,18,7,38.9,25,25,57,57
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Child Protection Plans ending during the first six months of the year,79,21,26.6,0,0,9,11.4,49,62
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Child Protection Plans ending during the first six months of the year,257,108,42,33,30.6,76,29.6,73,28.4
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Child Protection Plans ending during the first six months of the year,70,25,35.7,13,52,24,34.3,21,30
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Child Protection Plans ending during the first six months of the year,176,21,11.9,0,0,64,36.4,91,51.7
2018,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Child Protection Plans ending during the first six months of the year,177,67,37.9,13,19.4,39,22,71,40.1
2017,Reporting year,National,E92000001,England,,,,,,Child Protection Plans ending during the first six months of the year,32140,9760,30.4,1210,12.4,7640,23.8,14740,45.9
2017,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans ending during the first six months of the year,1960,420,21.5,50,12.1,440,22.2,1100,56.3
2017,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans ending during the first six months of the year,5430,1810,33.2,250,13.7,1160,21.4,2460,45.4
2017,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Child Protection Plans ending during the first six months of the year,3090,1030,33.3,110,10.7,700,22.8,1360,43.9
2017,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans ending during the first six months of the year,2890,1090,37.5,50,4.3,660,22.7,1150,39.7
2017,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans ending during the first six months of the year,3930,1330,33.8,80,6.3,890,22.7,1710,43.5
2017,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans ending during the first six months of the year,2590,640,24.5,100,16.1,720,27.6,1240,47.9
2017,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans ending during the first six months of the year,4420,1240,28,300,24.3,1080,24.4,2110,47.6
2017,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans ending during the first six months of the year,4860,1360,28,170,12.4,1260,26,2240,46
2017,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans ending during the first six months of the year,2970,860,29.1,100,11.8,730,24.6,1370,46.3
2017,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans ending during the first six months of the year,1650,400,24.1,100,25.6,360,21.5,900,54.4
2017,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans ending during the first six months of the year,2770,840,30.3,200,23.7,720,26.1,1210,43.7
2017,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans ending during the first six months of the year,78,31,39.7,0,0,21,26.9,26,33.3
2017,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Child Protection Plans ending during the first six months of the year,245,12,4.9,0,0,24,9.8,209,85.3
2017,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans ending during the first six months of the year,141,28,19.9,7,25,36,25.5,77,54.6
2017,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans ending during the first six months of the year,70,c,c,0,0,c,c,59,84.3
2017,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans ending during the first six months of the year,150,28,18.7,8,28.6,46,30.7,76,50.7
