time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percentage
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Carer requests placement ends due to childs behaviour,10,3
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Change in the status of a placement only,140,32
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Change to/Implementation of care plan,170,40
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Child requests placement to end,0,0
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Custody,0,0
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Other,60,14
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Resignation or closure of provision,c,c
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Responsible/Area authority requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Placement type,Placed for adoption,Standards of care concern,c,c
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,All Placements,3300,6
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Allegation (s47),50,1
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Approval removed,60,2
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Carer requests placement end other than due to childs behaviour,40,1
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Carer requests placement ends due to childs behaviour,100,3
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Change in the status of a placement only,920,28
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Change to/Implementation of care plan,1140,35
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Child requests placement to end,120,4
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Custody,20,~
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Other,640,19
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Resignation or closure of provision,c,c
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Responsible/Area authority requests placement to end,90,3
2021,Reporting year,National,E92000001,England,Placement type,Placed with parents or other person with parental responsibility,Standards of care concern,130,4
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,All Placements,30,~
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Allegation (s47),0,0
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Approval removed,0,0
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Carer requests placement end other than due to childs behaviour,0,0
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Carer requests placement ends due to childs behaviour,c,c
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Change in the status of a placement only,c,c
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Change to/Implementation of care plan,10,20
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Child requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Custody,0,0
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Other,10,47
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Resignation or closure of provision,0,0
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Responsible/Area authority requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Placement type,Residential schools,Standards of care concern,0,0
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",All Placements,9260,18
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Allegation (s47),50,1
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Approval removed,30,~
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Carer requests placement end other than due to childs behaviour,350,4
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Carer requests placement ends due to childs behaviour,1430,15
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Change in the status of a placement only,580,6
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Change to/Implementation of care plan,3230,35
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Child requests placement to end,570,6
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Custody,90,1
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Other,2500,27
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Resignation or closure of provision,150,2
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Responsible/Area authority requests placement to end,200,2
2021,Reporting year,National,E92000001,England,Placement type,"Secure units, children’s homes and semi-independent living accommodation",Standards of care concern,90,1
2021,Reporting year,National,E92000001,England,Placement type,Total,All Placements,52080,100
2021,Reporting year,National,E92000001,England,Placement type,Total,Allegation (s47),580,1
2021,Reporting year,National,E92000001,England,Placement type,Total,Approval removed,320,1
2021,Reporting year,National,E92000001,England,Placement type,Total,Carer requests placement end other than due to childs behaviour,2920,6
2021,Reporting year,National,E92000001,England,Placement type,Total,Carer requests placement ends due to childs behaviour,5200,10
2021,Reporting year,National,E92000001,England,Placement type,Total,Change in the status of a placement only,9310,18
2021,Reporting year,National,E92000001,England,Placement type,Total,Change to/Implementation of care plan,18180,35
2021,Reporting year,National,E92000001,England,Placement type,Total,Child requests placement to end,2010,4
2021,Reporting year,National,E92000001,England,Placement type,Total,Custody,200,~
2021,Reporting year,National,E92000001,England,Placement type,Total,Other,11620,22
2021,Reporting year,National,E92000001,England,Placement type,Total,Resignation or closure of provision,370,1
2021,Reporting year,National,E92000001,England,Placement type,Total,Responsible/Area authority requests placement to end,770,1
2021,Reporting year,National,E92000001,England,Placement type,Total,Standards of care concern,600,1
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,All Placements,8260,14
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Allegation (s47),80,1
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Approval removed,60,1
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement end other than due to childs behaviour,470,6
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Carer requests placement ends due to childs behaviour,230,3
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Change in the status of a placement only,1710,21
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Change to/Implementation of care plan,3630,44
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Child requests placement to end,10,~
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Custody,c,c
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Other,1810,22
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Resignation or closure of provision,30,~
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Responsible/Area authority requests placement to end,120,1
2020,Reporting year,National,E92000001,England,Age,1 to 4 years,Standards of care concern,120,1
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,All Placements,20390,35
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Allegation (s47),210,1
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Approval removed,100,~
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement end other than due to childs behaviour,1290,6
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Carer requests placement ends due to childs behaviour,3350,16
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Change in the status of a placement only,3490,17
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Change to/Implementation of care plan,5470,27
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Child requests placement to end,830,4
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Custody,50,~
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Other,4830,24
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Resignation or closure of provision,150,1
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Responsible/Area authority requests placement to end,400,2
2020,Reporting year,National,E92000001,England,Age,10 to 15 years,Standards of care concern,230,1
2020,Reporting year,National,E92000001,England,Age,16 years and over,All Placements,15160,26
2020,Reporting year,National,E92000001,England,Age,16 years and over,Allegation (s47),50,~
2020,Reporting year,National,E92000001,England,Age,16 years and over,Approval removed,50,~
2020,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement end other than due to childs behaviour,530,4
2020,Reporting year,National,E92000001,England,Age,16 years and over,Carer requests placement ends due to childs behaviour,1920,13
2020,Reporting year,National,E92000001,England,Age,16 years and over,Change in the status of a placement only,1610,11
2020,Reporting year,National,E92000001,England,Age,16 years and over,Change to/Implementation of care plan,4770,31
2020,Reporting year,National,E92000001,England,Age,16 years and over,Child requests placement to end,1460,10
2020,Reporting year,National,E92000001,England,Age,16 years and over,Custody,140,1
2020,Reporting year,National,E92000001,England,Age,16 years and over,Other,4110,27
2020,Reporting year,National,E92000001,England,Age,16 years and over,Resignation or closure of provision,100,1
2020,Reporting year,National,E92000001,England,Age,16 years and over,Responsible/Area authority requests placement to end,310,2
2020,Reporting year,National,E92000001,England,Age,16 years and over,Standards of care concern,100,1
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,All Placements,8360,14
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Allegation (s47),130,2
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Approval removed,60,1
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement end other than due to childs behaviour,550,7
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement ends due to childs behaviour,750,9
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Change in the status of a placement only,2020,24
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Change to/Implementation of care plan,2660,32
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Child requests placement to end,40,1
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Custody,c,c
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Other,1830,22
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Resignation or closure of provision,60,1
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Responsible/Area authority requests placement to end,140,2
2020,Reporting year,National,E92000001,England,Age,5 to 9 years,Standards of care concern,120,1
2020,Reporting year,National,E92000001,England,Age,Total,All Placements,57920,100
2020,Reporting year,National,E92000001,England,Age,Total,Allegation (s47),490,1
2020,Reporting year,National,E92000001,England,Age,Total,Approval removed,290,1
2020,Reporting year,National,E92000001,England,Age,Total,Carer requests placement end other than due to childs behaviour,3090,5
2020,Reporting year,National,E92000001,England,Age,Total,Carer requests placement ends due to childs behaviour,6290,11
2020,Reporting year,National,E92000001,England,Age,Total,Change in the status of a placement only,9720,17
2020,Reporting year,National,E92000001,England,Age,Total,Change to/Implementation of care plan,19480,34
2020,Reporting year,National,E92000001,England,Age,Total,Child requests placement to end,2350,4
2020,Reporting year,National,E92000001,England,Age,Total,Custody,190,~
2020,Reporting year,National,E92000001,England,Age,Total,Other,14020,24
2020,Reporting year,National,E92000001,England,Age,Total,Resignation or closure of provision,350,1
2020,Reporting year,National,E92000001,England,Age,Total,Responsible/Area authority requests placement to end,1040,2
2020,Reporting year,National,E92000001,England,Age,Total,Standards of care concern,610,1
2020,Reporting year,National,E92000001,England,Age,Under 1 year,All Placements,5740,10
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Allegation (s47),20,~
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Approval removed,30,~
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement end other than due to childs behaviour,240,4
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement ends due to childs behaviour,30,~
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Change in the status of a placement only,900,16
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Change to/Implementation of care plan,2950,51
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Child requests placement to end,10,~
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Custody,0,0
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Other,1450,25
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Resignation or closure of provision,10,~
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Responsible/Area authority requests placement to end,70,1
2020,Reporting year,National,E92000001,England,Age,Under 1 year,Standards of care concern,50,1
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,All Placements,36530,63
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Allegation (s47),350,1
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Approval removed,200,1
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement end other than due to childs behaviour,2030,6
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement ends due to childs behaviour,3820,10
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change in the status of a placement only,6560,18
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change to/Implementation of care plan,12300,34
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Child requests placement to end,1320,4
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Custody,90,~
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Other,8610,24
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Resignation or closure of provision,210,1
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Responsible/Area authority requests placement to end,620,2
2020,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Standards of care concern,420,1
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,All Placements,920,2
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Allegation (s47),10,1
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Approval removed,c,c
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement end other than due to childs behaviour,50,6
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement ends due to childs behaviour,120,13
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change in the status of a placement only,150,16
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change to/Implementation of care plan,290,31
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Child requests placement to end,30,3
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Custody,c,c
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Other,220,23
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Resignation or closure of provision,20,2
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Responsible/Area authority requests placement to end,20,2
2020,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Standards of care concern,10,2
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,All Placements,1490,3
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Allegation (s47),10,1
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Approval removed,0,0
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement end other than due to childs behaviour,100,7
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement ends due to childs behaviour,110,8
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change in the status of a placement only,330,22
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change to/Implementation of care plan,550,37
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Child requests placement to end,40,2
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Custody,c,c
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Other,290,19
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Resignation or closure of provision,10,1
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Responsible/Area authority requests placement to end,30,2
2020,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Standards of care concern,30,2
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,All Placements,4990,9
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Allegation (s47),30,1
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Approval removed,10,~
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement end other than due to childs behaviour,270,5
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement ends due to childs behaviour,750,15
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change in the status of a placement only,700,14
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change to/Implementation of care plan,1500,30
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Child requests placement to end,240,5
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Custody,30,1
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Other,1310,26
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Resignation or closure of provision,40,1
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Responsible/Area authority requests placement to end,80,2
2020,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Standards of care concern,40,1
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,All Placements,8810,15
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Allegation (s47),70,1
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Approval removed,60,1
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement end other than due to childs behaviour,450,5
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement ends due to childs behaviour,1060,12
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change in the status of a placement only,1390,16
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change to/Implementation of care plan,3010,34
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Child requests placement to end,360,4
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Custody,30,~
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Other,2070,24
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Resignation or closure of provision,40,~
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Responsible/Area authority requests placement to end,190,2
2020,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Standards of care concern,80,1
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,All Placements,1190,2
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Allegation (s47),c,c
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Approval removed,10,1
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement end other than due to childs behaviour,40,4
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement ends due to childs behaviour,170,14
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change in the status of a placement only,120,10
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change to/Implementation of care plan,360,30
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Child requests placement to end,60,5
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Custody,40,3
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Other,340,29
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Resignation or closure of provision,c,c
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Responsible/Area authority requests placement to end,20,2
2020,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Standards of care concern,10,1
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,All Placements,90,~
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Allegation (s47),0,0
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Approval removed,0,0
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement end other than due to childs behaviour,c,c
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement ends due to childs behaviour,c,c
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change in the status of a placement only,10,10
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change to/Implementation of care plan,40,44
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Child requests placement to end,10,9
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Custody,0,0
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Other,20,26
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Resignation or closure of provision,c,c
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Responsible/Area authority requests placement to end,c,c
2020,Reporting year,National,E92000001,England,Category of need,N7. Low income,Standards of care concern,c,c
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,All Placements,3890,7
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Allegation (s47),20,~
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Approval removed,10,~
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement end other than due to childs behaviour,140,4
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement ends due to childs behaviour,250,6
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change in the status of a placement only,460,12
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change to/Implementation of care plan,1430,37
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Child requests placement to end,300,8
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Custody,c,c
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Other,1150,30
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Resignation or closure of provision,10,~
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Responsible/Area authority requests placement to end,80,2
2020,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Standards of care concern,30,1
2020,Reporting year,National,E92000001,England,Category of need,Total,All Placements,57920,100
2020,Reporting year,National,E92000001,England,Category of need,Total,Allegation (s47),490,1
2020,Reporting year,National,E92000001,England,Category of need,Total,Approval removed,290,1
2020,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement end other than due to childs behaviour,3090,5
2020,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement ends due to childs behaviour,6290,11
2020,Reporting year,National,E92000001,England,Category of need,Total,Change in the status of a placement only,9720,17
2020,Reporting year,National,E92000001,England,Category of need,Total,Change to/Implementation of care plan,19480,34
2020,Reporting year,National,E92000001,England,Category of need,Total,Child requests placement to end,2350,4
2020,Reporting year,National,E92000001,England,Category of need,Total,Custody,190,~
2020,Reporting year,National,E92000001,England,Category of need,Total,Other,14020,24
2020,Reporting year,National,E92000001,England,Category of need,Total,Resignation or closure of provision,350,1
2020,Reporting year,National,E92000001,England,Category of need,Total,Responsible/Area authority requests placement to end,1040,2
2020,Reporting year,National,E92000001,England,Category of need,Total,Standards of care concern,610,1
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,All Placements,9540,16
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Allegation (s47),20,~
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Approval removed,40,~
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement end other than due to childs behaviour,600,6
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement ends due to childs behaviour,780,8
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change in the status of a placement only,1070,11
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change to/Implementation of care plan,3430,36
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Child requests placement to end,190,2
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Custody,30,~
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Other,3130,33
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Resignation or closure of provision,20,~
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Responsible/Area authority requests placement to end,180,2
2020,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Standards of care concern,60,1
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,All Placements,9690,17
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Allegation (s47),80,1
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Approval removed,40,~
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement end other than due to childs behaviour,630,7
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement ends due to childs behaviour,1280,13
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change in the status of a placement only,1170,12
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change to/Implementation of care plan,3210,33
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Child requests placement to end,380,4
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Custody,50,1
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Other,2480,26
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Resignation or closure of provision,40,~
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Responsible/Area authority requests placement to end,210,2
2020,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Standards of care concern,130,1
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,All Placements,14420,25
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Allegation (s47),110,1
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Approval removed,120,1
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement end other than due to childs behaviour,800,6
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement ends due to childs behaviour,1840,13
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change in the status of a placement only,2190,15
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change to/Implementation of care plan,4640,32
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Child requests placement to end,640,4
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Custody,70,~
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Other,3460,24
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Resignation or closure of provision,100,1
2020,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Responsible/Area authority requests placement to end,280,2
