time_period,time_identifier,geographic_level,country_name,country_code,school_phase,expenditure_type,expenditure_description,expenditure,expenditure_per_pupil
201617,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201617,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Total bought in professional services (E28a/b),137.54,129
201617,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Loan interest (E29),1.33,1
201617,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),26.77,25
201617,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school staff (E31),8.07,8
201617,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school costs (E32),5.95,6
201617,Financial year,National,England,E92000001,Secondary,Capital expenditure,Acquisition of land and existing buildings (CE01),2.21,2
201617,Financial year,National,England,E92000001,Secondary,Capital expenditure,"New construction, conversion and renovation (CE02)",53.4,50
201617,Financial year,National,England,E92000001,Secondary,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",4.29,4
201617,Financial year,National,England,E92000001,Secondary,Capital expenditure,Information and communication technology (CE04),11.79,11
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total supply staff costs,159.45,150
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total staff costs,4761.55,4480
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total premises costs,342.52,322
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total occupation costs,454.15,427
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total supplies and services,602.3,567
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Community expenditure,14.02,13
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total expenditure,6219.65,5852
201617,Financial year,National,England,E92000001,Secondary,Total expenditure,Total net expenditure,6119.66,5758
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Teaching Staff (E01),717.54,8372
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Supply teaching staff (E02),10.22,119
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Education support staff (E03),631.28,7365
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Premises staff (E04),39.61,462
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Administrative and clerical staff (E05),100.05,1167
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Catering staff (E06),8.06,94
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Cost of other staff (E07),38.37,448
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Indirect employee expenses (E08),14.96,175
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Development and training (E09),14.17,165
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Supply teacher insurance (E10),7.41,86
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Staff related insurance (E11),4.78,56
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Building maintenance and improvement (E12),42.74,499
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Grounds maintenance and improvement (E13),4.16,49
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Cleaning and caretaking (E14),18.45,215
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Water and sewerage (E15),4.79,56
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Energy (E16),22.4,261
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Rates (E17),0.42,5
201617,Financial year,National,England,E92000001,Special,Premises related expenditure,Other occupation costs (E18),15.99,187
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),62.2,726
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,ICT learning resources (E20),17.49,204
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Exam fees (E21),2.45,29
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Administrative supplies (E22),20.12,235
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Other insurance premiums (E23),7.29,85
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Special facilities (E24),11.19,131
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Catering supplies (E25),28.19,329
201617,Financial year,National,England,E92000001,Special,Staff related expenditure,Agency supply teaching staff (E26),38.82,453
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Bought in professional services – curriculum (E27),46.5,542
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201617,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Total bought in professional services (E28a/b),42.77,499
201617,Financial year,National,England,E92000001,Special,Finance related expenditure,Loan interest (E29),0.07,1
201617,Financial year,National,England,E92000001,Special,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),13.56,158
201617,Financial year,National,England,E92000001,Special,Community expenditure,Community focused school staff (E31),3.22,38
201617,Financial year,National,England,E92000001,Special,Community expenditure,Community focused school costs (E32),1.76,21
201617,Financial year,National,England,E92000001,Special,Capital expenditure,Acquisition of land and existing buildings (CE01),0.28,3
201617,Financial year,National,England,E92000001,Special,Capital expenditure,"New construction, conversion and renovation (CE02)",19.02,222
201617,Financial year,National,England,E92000001,Special,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",2.45,29
201617,Financial year,National,England,E92000001,Special,Capital expenditure,Information and communication technology (CE04),3.66,43
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total supply staff costs,56.45,659
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total staff costs,1577.61,18406
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total premises costs,104.96,1225
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total occupation costs,87.14,1017
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total supplies and services,148.76,1736
201617,Financial year,National,England,E92000001,Special,Total expenditure,Community expenditure,4.98,58
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total expenditure,1934.71,22572
201617,Financial year,National,England,E92000001,Special,Total expenditure,Total net expenditure,1914.63,22338
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Teaching Staff (E01),11431.52,2538
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Supply teaching staff (E02),147.23,33
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Education support staff (E03),4419.01,981
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Premises staff (E04),532.56,118
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Administrative and clerical staff (E05),1300.59,289
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Catering staff (E06),112.14,25
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Cost of other staff (E07),497.42,110
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Indirect employee expenses (E08),186.93,42
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Development and training (E09),138.63,31
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Supply teacher insurance (E10),126.54,28
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Staff related insurance (E11),46.07,10
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Building maintenance and improvement (E12),453.41,101
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Grounds maintenance and improvement (E13),71.75,16
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Cleaning and caretaking (E14),278.84,62
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Water and sewerage (E15),83.01,18
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Energy (E16),304.61,68
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Rates (E17),301.92,67
201718,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Other occupation costs (E18),170.71,38
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),962.78,214
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,ICT learning resources (E20),274.09,61
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Exam fees (E21),84.84,19
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Administrative supplies (E22),273.44,61
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Other insurance premiums (E23),140.25,31
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Special facilities (E24),129.88,29
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Catering supplies (E25),864.72,192
201718,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Agency supply teaching staff (E26),451.16,100
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Bought in professional services – curriculum (E27),517.68,115
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Total bought in professional services (E28a/b),570.15,127
201718,Financial year,National,England,E92000001,All LA maintained schools,Finance related expenditure,Loan interest (E29),3.07,1
201718,Financial year,National,England,E92000001,All LA maintained schools,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),109.02,24
201718,Financial year,National,England,E92000001,All LA maintained schools,Community expenditure,Community focused school staff (E31),108.83,24
201718,Financial year,National,England,E92000001,All LA maintained schools,Community expenditure,Community focused school costs (E32),40.02,9
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,Acquisition of land and existing buildings (CE01),3.51,1
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,"New construction, conversion and renovation (CE02)",196.52,44
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",18.29,4
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,Information and communication technology (CE04),45.24,10
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total supply staff costs,724.93,161
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total staff costs,18745.09,4162
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total premises costs,1336.55,297
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total occupation costs,1977.36,439
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total supplies and services,2112.82,469
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Community expenditure,148.85,33
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total expenditure,24453.63,5429
201718,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total net expenditure,23958.66,5319
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Teaching Staff (E01),68.03,2416
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Supply teaching staff (E02),0.86,31
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Education support staff (E03),94.96,3372
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Premises staff (E04),6.12,217
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Administrative and clerical staff (E05),20.65,733
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Catering staff (E06),1.12,40
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Cost of other staff (E07),7.42,263
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Indirect employee expenses (E08),2.67,95
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Development and training (E09),1.66,59
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Supply teacher insurance (E10),0.99,35
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Staff related insurance (E11),0.93,33
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Building maintenance and improvement (E12),4.42,157
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Grounds maintenance and improvement (E13),0.82,29
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Cleaning and caretaking (E14),3.97,141
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Water and sewerage (E15),0.84,30
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Energy (E16),2.72,97
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Rates (E17),4.51,160
201718,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Other occupation costs (E18),2.18,77
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),5.02,178
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,ICT learning resources (E20),1.47,52
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Exam fees (E21),low,low
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Administrative supplies (E22),3.26,116
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Other insurance premiums (E23),1.19,42
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Special facilities (E24),1.08,39
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Catering supplies (E25),3.6,128
201718,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Agency supply teaching staff (E26),2.99,106
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Bought in professional services – curriculum (E27),4.59,163
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201718,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Total bought in professional services (E28a/b),8.81,313
201718,Financial year,National,England,E92000001,Nursery,Finance related expenditure,Loan interest (E29),0.04,1
201718,Financial year,National,England,E92000001,Nursery,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),0.94,33
201718,Financial year,National,England,E92000001,Nursery,Community expenditure,Community focused school staff (E31),18.93,672
201718,Financial year,National,England,E92000001,Nursery,Community expenditure,Community focused school costs (E32),5.66,201
201718,Financial year,National,England,E92000001,Nursery,Capital expenditure,Acquisition of land and existing buildings (CE01),0.04,1
201718,Financial year,National,England,E92000001,Nursery,Capital expenditure,"New construction, conversion and renovation (CE02)",3.42,121
201718,Financial year,National,England,E92000001,Nursery,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",0.18,6
201718,Financial year,National,England,E92000001,Nursery,Capital expenditure,Information and communication technology (CE04),0.28,10
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total supply staff costs,4.84,172
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total staff costs,201.14,7143
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total premises costs,15.33,544
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total occupation costs,16.16,574
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total supplies and services,14.34,509
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Community expenditure,24.59,873
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total expenditure,272.69,9683
201718,Financial year,National,England,E92000001,Nursery,Total expenditure,Total net expenditure,249.05,8844
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Teaching Staff (E01),7446.22,2189
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Supply teaching staff (E02),114.35,34
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Education support staff (E03),3049.71,897
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Premises staff (E04),373.78,110
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Administrative and clerical staff (E05),788.3,232
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Catering staff (E06),68.25,20
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Cost of other staff (E07),402.62,118
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Indirect employee expenses (E08),107.22,32
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Development and training (E09),101.64,30
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Supply teacher insurance (E10),103.44,30
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Staff related insurance (E11),33.49,10
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Building maintenance and improvement (E12),293.68,86
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Grounds maintenance and improvement (E13),51.9,15
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Cleaning and caretaking (E14),183.34,54
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Water and sewerage (E15),60.45,18
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Energy (E16),192.58,57
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Rates (E17),203.04,60
201718,Financial year,National,England,E92000001,Primary,Premises related expenditure,Other occupation costs (E18),88.83,26
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),660.71,194
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,ICT learning resources (E20),185.07,54
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Exam fees (E21),0.09,0
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Administrative supplies (E22),172.35,51
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Other insurance premiums (E23),98.5,29
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Special facilities (E24),71.94,21
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Catering supplies (E25),735.2,216
201718,Financial year,National,England,E92000001,Primary,Staff related expenditure,Agency supply teaching staff (E26),289.3,85
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Bought in professional services – curriculum (E27),352.31,104
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201718,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Total bought in professional services (E28a/b),379.5,112
201718,Financial year,National,England,E92000001,Primary,Finance related expenditure,Loan interest (E29),1.83,1
201718,Financial year,National,England,E92000001,Primary,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),74.54,22
201718,Financial year,National,England,E92000001,Primary,Community expenditure,Community focused school staff (E31),79.96,24
201718,Financial year,National,England,E92000001,Primary,Community expenditure,Community focused school costs (E32),27.19,8
201718,Financial year,National,England,E92000001,Primary,Capital expenditure,Acquisition of land and existing buildings (CE01),2.4,1
201718,Financial year,National,England,E92000001,Primary,Capital expenditure,"New construction, conversion and renovation (CE02)",132.36,39
201718,Financial year,National,England,E92000001,Primary,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",10.7,3
201718,Financial year,National,England,E92000001,Primary,Capital expenditure,Information and communication technology (CE04),31.98,9
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total supply staff costs,507.09,149
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total staff costs,12436.28,3656
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total premises costs,902.7,265
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total occupation costs,1446.84,425
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total supplies and services,1370.52,403
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Community expenditure,107.16,32
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total expenditure,16337.27,4803
201718,Financial year,National,England,E92000001,Primary,Total expenditure,Total net expenditure,15977.33,4697
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Teaching Staff (E01),166.49,8483
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Supply teaching staff (E02),3.82,195
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Education support staff (E03),71.04,3620
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Premises staff (E04),5.01,255
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Administrative and clerical staff (E05),26.24,1337
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Catering staff (E06),0.54,27
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Cost of other staff (E07),4.24,216
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Indirect employee expenses (E08),5.3,270
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Development and training (E09),2.13,108
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Supply teacher insurance (E10),1.04,53
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Staff related insurance (E11),0.43,22
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Building maintenance and improvement (E12),7.05,359
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Grounds maintenance and improvement (E13),0.57,29
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Cleaning and caretaking (E14),3.47,177
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Water and sewerage (E15),0.62,32
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Energy (E16),2.63,134
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Rates (E17),2.39,122
201718,Financial year,National,England,E92000001,PRU,Premises related expenditure,Other occupation costs (E18),3.65,186
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),17.61,897
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,ICT learning resources (E20),3.98,203
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Exam fees (E21),1.58,81
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Administrative supplies (E22),4.49,229
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Other insurance premiums (E23),1.12,57
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Special facilities (E24),6.52,332
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Catering supplies (E25),3.77,192
201718,Financial year,National,England,E92000001,PRU,Staff related expenditure,Agency supply teaching staff (E26),18.44,940
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Bought in professional services – curriculum (E27),27.12,1382
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201718,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Total bought in professional services (E28a/b),11.8,601
201718,Financial year,National,England,E92000001,PRU,Finance related expenditure,Loan interest (E29),0.03,2
201718,Financial year,National,England,E92000001,PRU,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),2.5,127
201718,Financial year,National,England,E92000001,PRU,Community expenditure,Community focused school staff (E31),0.55,28
201718,Financial year,National,England,E92000001,PRU,Community expenditure,Community focused school costs (E32),0.66,34
201718,Financial year,National,England,E92000001,PRU,Capital expenditure,Acquisition of land and existing buildings (CE01),0.04,2
201718,Financial year,National,England,E92000001,PRU,Capital expenditure,"New construction, conversion and renovation (CE02)",3.21,164
201718,Financial year,National,England,E92000001,PRU,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",0.77,39
201718,Financial year,National,England,E92000001,PRU,Capital expenditure,Information and communication technology (CE04),0.95,48
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total supply staff costs,23.3,1187
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total staff costs,299.17,15244
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total premises costs,16.11,821
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total occupation costs,14.72,750
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total supplies and services,54.8,2792
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Community expenditure,1.21,62
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total expenditure,392.55,20002
201718,Financial year,National,England,E92000001,PRU,Total expenditure,Total net expenditure,389.8,19863
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Teaching Staff (E01),3059.98,3152
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Supply teaching staff (E02),18.82,19
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Education support staff (E03),579.87,597
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Premises staff (E04),110.09,113
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Administrative and clerical staff (E05),367.65,379
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Catering staff (E06),34.26,35
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Cost of other staff (E07),46.5,48
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Indirect employee expenses (E08),52.85,54
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Development and training (E09),21.23,22
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Supply teacher insurance (E10),13.58,14
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Staff related insurance (E11),6.56,7
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Building maintenance and improvement (E12),109.83,113
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Grounds maintenance and improvement (E13),14.04,14
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Cleaning and caretaking (E14),69.89,72
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Water and sewerage (E15),16.23,17
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Energy (E16),84.36,87
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Rates (E17),91.7,94
201718,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Other occupation costs (E18),59.82,62
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),220.63,227
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,ICT learning resources (E20),66.41,68
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Exam fees (E21),80.87,83
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Administrative supplies (E22),73.76,76
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Other insurance premiums (E23),31.83,33
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Special facilities (E24),40.02,41
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Catering supplies (E25),95.73,99
201718,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Agency supply teaching staff (E26),104.03,107
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Bought in professional services – curriculum (E27),86.87,89
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201718,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Total bought in professional services (E28a/b),128.7,133
201718,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Loan interest (E29),1.05,1
201718,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),20.21,21
201718,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school staff (E31),7.21,7
201718,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school costs (E32),5.6,6
201718,Financial year,National,England,E92000001,Secondary,Capital expenditure,Acquisition of land and existing buildings (CE01),0.88,1
