time_period,time_identifier,geographic_level,country_name,country_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure
201718,Financial year,National,England,E92000001,Schools,1.8.1 TOTAL SCHOOLS EXPENDITURE (after academy recoupment),3300.49,14296.23,5665.64,3179.99,508.28,326.33,27428.74,212.41,27216.33,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.1 Dedicated Schools Grant for year,x,x,x,x,x,x,26463.32,x,x,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.2 Dedicated Schools Grant brought forward from previous year,x,x,x,x,x,x,323.69,x,x,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.3 Dedicated Schools Grant carried forward to next year,x,x,x,x,x,x,143.87,x,x,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.4 Grant for maintained school 6th forms,x,x,x,x,x,x,538.64,x,x,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.5 Local Authority additional contribution,x,x,x,x,x,x,34.67,x,x,z
201718,Financial year,National,England,E92000001,Dedicated schools grant,1.9.6 Total funding supporting the Schools Budget,x,x,x,x,x,x,27216.45,x,x,z
201718,Financial year,National,England,E92000001,Other education and community,2.0.1 Central support services,x,x,x,x,x,x,173.25,122.44,50.81,11
201718,Financial year,National,England,E92000001,Other education and community,2.0.2 Education welfare service,x,x,x,x,x,x,45.87,15.93,29.94,7
201718,Financial year,National,England,E92000001,Other education and community,2.0.3 School improvement,x,x,x,x,x,x,155.13,60.58,94.55,21
201718,Financial year,National,England,E92000001,Other education and community,2.0.4 Asset management - education,x,x,x,x,x,x,37.29,9.68,27.61,6
201718,Financial year,National,England,E92000001,Other education and community,2.0.5 Statutory/ Regulatory duties - education,x,x,x,x,x,x,197.93,54.38,143.56,31
201718,Financial year,National,England,E92000001,Other education and community,2.0.6 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,16.4,0.49,15.91,3
201718,Financial year,National,England,E92000001,Other education and community,2.0.7 Monitoring national curriculum assessment,x,x,x,x,x,x,3.98,0.47,3.51,1
201718,Financial year,National,England,E92000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,125.77,26.74,99.03,12
201718,Financial year,National,England,E92000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,7.72,94.91,96.84,445.68,17.21,x,662.36,13.94,648.42,78
201718,Financial year,National,England,E92000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,x,x,x,74.12,74.12,2.8,71.31,9
201718,Financial year,National,England,E92000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,x,x,x,32.44,32.44,0.69,31.74,4
201718,Financial year,National,England,E92000001,Other education and community,2.1.8 Home to post-16 provision transport: mainstream home to post-16 transport expenditure,x,x,x,x,x,25.12,25.12,9.01,16.11,2
201718,Financial year,National,England,E92000001,Other education and community,2.1.9 Supply of school places,x,x,x,x,x,x,27.85,9.88,17.96,2
201718,Financial year,National,England,E92000001,Other education and community,2.2.1 Other spend not funded from the Schools Budget,x,x,x,x,x,x,7.27,4.18,3.09,0
201718,Financial year,National,England,E92000001,Other education and community,2.3.1 Young peoples learning and development,x,x,47.56,2.83,0.77,x,51.17,24.82,26.35,3
201718,Financial year,National,England,E92000001,Other education and community,2.3.2 Adult and Community learning,x,x,x,x,x,x,287.83,253.26,34.58,4
201718,Financial year,National,England,E92000001,Other education and community,2.3.3 Pension costs,x,x,x,x,x,x,259.84,15.83,244.02,29
201718,Financial year,National,England,E92000001,Other education and community,2.3.4 Joint use arrangements,x,x,x,x,x,x,7.48,5.7,1.78,0
201718,Financial year,National,England,E92000001,Other education and community,2.3.5 Insurance,x,x,x,x,x,x,5.58,1.13,4.46,1
201718,Financial year,National,England,E92000001,Other education and community,2.4.1 Other Specific Grant,x,x,x,x,x,x,39.43,44.12,-4.69,z
201718,Financial year,National,England,E92000001,Other education and community,2.5.1 Capital Expenditure (excluding CERA),41.74,1112.95,405.06,173.35,22.73,x,1755.82,451.16,1304.66,156
201718,Financial year,National,England,E92000001,Other education and community,2.4.2 Capital Expenditure from Revenue (CERA) (Non-schools budget functions),x,x,x,x,x,x,3.46,0.99,2.47,z
201718,Financial year,National,England,E92000001,Other education and community,2.4.3 Total Other education and community expenditure,x,x,x,x,x,x,2768.4,733.78,2034.61,446
201819,Financial year,National,England,E92000001,Schools,1.1.1 Contingencies,x,22.8,8.25,x,x,x,31.05,2.37,28.67,7
201819,Financial year,National,England,E92000001,Schools,1.1.3 Support to UPEG and bilingual learners,x,13.28,2.24,x,x,x,15.52,1.03,14.49,3
201819,Financial year,National,England,E92000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,7.43,55.99,47.15,880.64,46.11,175.59,1212.91,14.37,1198.53,91
201819,Financial year,National,England,E92000001,Schools,1.2.1 Top-up funding – maintained schools,12.81,446.94,149.69,878.19,146.17,x,1633.8,25.61,1608.19,121
201819,Financial year,National,England,E92000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,11.87,0.2,0.46,12.53,3.77,8.77,1
201819,Financial year,National,England,E92000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,1.51,42.85,14.78,x,x,x,59.15,0.09,59.06,4
201819,Financial year,National,England,E92000001,Schools,"1.0.1 Individual Schools Budget, after academy recoupment",3373.28,12066.65,4645.26,x,x,x,20085.18,x,20085.18,4732
201819,Financial year,National,England,E92000001,Other education and community,2.1.5 Home to school transport (pre 16): mainstream home to school transport expenditure,1.57,100.27,248.07,6.52,8.68,x,365.1,20.34,344.77,40
201819,Financial year,National,England,E92000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,170.55,26.45,144.1,17
201819,Financial year,National,England,E92000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",2.95,202.74,211.86,360.78,68.34,190.2,1036.87,5.79,1031.08,78
201819,Financial year,National,England,E92000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,20.05,3.93,16.12,2
201819,Financial year,National,England,E92000001,Schools,1.0.2 High needs place funding within Individual Schools Budget,x,72.29,36.68,800.8,174.66,x,1084.44,x,1084.44,255
201819,Financial year,National,England,E92000001,Schools,1.1.2 Behaviour support services,x,17.15,3.32,x,x,x,20.47,2.06,18.4,4
201819,Financial year,National,England,E92000001,Schools,1.1.4 Free school meals eligibility,x,2.39,0.75,x,x,x,3.14,0.21,2.93,1
201819,Financial year,National,England,E92000001,Schools,1.1.5 Insurance,x,6.55,2.66,x,x,x,9.21,0,9.21,2
201819,Financial year,National,England,E92000001,Schools,1.1.6 Museum and Library services,x,1.72,0.03,x,x,x,1.75,0.13,1.62,0
201819,Financial year,National,England,E92000001,Schools,1.1.7 Licences/subscriptions,x,4.99,1.07,x,x,x,6.05,0.38,5.67,1
201819,Financial year,National,England,E92000001,Schools,1.1.8 Staff costs – supply cover excluding cover for facility time,x,21.86,5.26,x,x,x,27.13,0.48,26.65,6
201819,Financial year,National,England,E92000001,Schools,1.1.9 Staff costs – supply cover for facility time,x,9.77,3.84,x,x,x,13.61,1.67,11.94,3
201819,Financial year,National,England,E92000001,Schools,1.1.10 School improvement,x,8.54,1.68,x,x,x,10.22,0.1,10.12,2
201819,Financial year,National,England,E92000001,Schools,1.2.5 SEN support service,55.18,197.06,107.58,87.05,6.38,4.08,457.33,17.33,440,33
201819,Financial year,National,England,E92000001,Schools,1.2.6 Hospital education services,x,x,x,23.61,18.73,x,42.34,0.4,41.94,3
201819,Financial year,National,England,E92000001,Schools,1.2.7 Other alternative provision services,1.63,28.62,36.06,5.56,85.74,1.6,159.2,8.22,150.98,11
201819,Financial year,National,England,E92000001,Schools,1.2.8 Support for inclusion,10.38,72.18,37.66,27.73,7.63,0.57,156.15,6.69,149.46,11
201819,Financial year,National,England,E92000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,2.37,0.55,x,2.92,0,2.92,0
201819,Financial year,National,England,E92000001,Schools,1.2.11 Direct payments (SEN and disability),low,0.12,0.05,8.72,1.57,0.03,10.49,0.14,10.35,1
201819,Financial year,National,England,E92000001,Schools,1.2.12 Carbon reduction commitment allowances (PRUs),x,x,x,x,0.02,x,0.02,0,0.02,0
201819,Financial year,National,England,E92000001,Schools,1.2.13 Therapies and other health related services,1.43,11.62,5.36,10.61,0.53,0.19,29.73,1.62,28.11,2
201819,Financial year,National,England,E92000001,Schools,1.3.1 Central expenditure on early years entitlement,135.81,x,x,x,x,x,135.81,3.41,132.4,11
201819,Financial year,National,England,E92000001,Schools,1.4.1 Contribution to combined expenditure,10.94,70.24,39.86,4.51,1.52,x,127.07,3.22,123.85,14
201819,Financial year,National,England,E92000001,Schools,1.4.2 School admissions,1.54,42.54,24.88,0.94,0.27,x,70.17,2.47,67.7,8
201819,Financial year,National,England,E92000001,Schools,1.4.3 Servicing of schools forums,0.22,2.21,1.4,0.22,0.06,x,4.11,0.07,4.04,0
201819,Financial year,National,England,E92000001,Schools,1.4.4 Termination of employment costs,0.5,16.04,10.16,0.89,0.05,x,27.64,0.27,27.36,3
201819,Financial year,National,England,E92000001,Schools,1.4.5 Falling Rolls Fund,0,1.83,4.51,0,0,x,6.34,0,6.34,1
201819,Financial year,National,England,E92000001,Schools,1.4.6 Capital expenditure from revenue (CERA),0.27,8.17,13.17,5.7,2.98,x,30.29,8.47,21.81,3
201819,Financial year,National,England,E92000001,Schools,1.4.7 Prudential borrowing costs,0.12,12.6,8.32,5.65,0.02,x,26.71,0.06,26.65,3
201819,Financial year,National,England,E92000001,Schools,1.4.8 Fees to independent schools without SEN,0.01,1.5,3.67,0.69,0.65,x,6.53,0,6.53,1
201819,Financial year,National,England,E92000001,Schools,1.4.9 Equal pay - back pay,0.06,2.5,1.2,0.25,low,x,4.02,0,4.02,0
201819,Financial year,National,England,E92000001,Schools,1.4.10 Pupil growth (includes infant class sizes for years prior to 2018-19),1.08,99.32,50.44,1.49,0.09,x,152.43,0.44,151.98,18
201819,Financial year,National,England,E92000001,Schools,1.4.11 SEN transport,0.05,3.6,2.55,17.38,1.7,0.42,25.69,0,25.69,3
201819,Financial year,National,England,E92000001,Schools,1.4.12 Exceptions agreed by Secretary of State,low,2.28,2.89,1,0,0,6.17,0.43,5.74,1
201819,Financial year,National,England,E92000001,Schools,1.4.13 Infant class sizes,x,8.64,x,x,x,0,8.97,0,8.97,1
201819,Financial year,National,England,E92000001,Schools,1.4.14 Other Items,1,22.66,13.83,1.18,0.31,x,39.11,x,39.11,5
201819,Financial year,National,England,E92000001,Schools,1.5.1 Education welfare service (funded within schools budget),x,x,x,x,x,x,32.49,2.27,30.22,4
201819,Financial year,National,England,E92000001,Schools,1.5.2 Asset management (funded within schools budget),x,x,x,x,x,x,19.7,0.36,19.34,2
201819,Financial year,National,England,E92000001,Schools,1.5.3 Statutory/ Regulatory duties (funded within schools budget),x,x,x,x,x,x,71.15,0.57,70.58,8
201819,Financial year,National,England,E92000001,Schools,1.6.1 Central support services,x,x,x,x,x,x,4.44,2.13,2.31,0
201819,Financial year,National,England,E92000001,Schools,1.6.2 Education welfare service,x,x,x,x,x,x,2.62,0.11,2.51,0
201819,Financial year,National,England,E92000001,Schools,1.6.3 Asset Management (funded through maintained schools budget),x,x,x,x,x,x,3.66,0.06,3.61,0
201819,Financial year,National,England,E92000001,Schools,1.6.4 Statutory/ Regulatory duties (funded through maintained schools budget),x,x,x,x,x,x,18.79,1.51,17.28,2
201819,Financial year,National,England,E92000001,Schools,1.6.5 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,9.74,0.16,9.57,1
201819,Financial year,National,England,E92000001,Schools,1.6.6 Monitoring national curriculum assessment,x,x,x,x,x,x,0.81,0.05,0.76,0
201819,Financial year,National,England,E92000001,Schools,1.7.1 Other Specific Grants,0.24,52.81,6.65,2.22,0.54,1.39,63.85,62.52,1.34,0
201819,Financial year,National,England,E92000001,Schools,1.8.1 TOTAL SCHOOLS EXPENDITURE (after academy recoupment),3618.52,13653.02,5504.95,3140.12,564.83,374.68,27019.52,181.05,26838.47,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.1 Dedicated Schools Grant for year,x,x,x,x,x,x,26233.27,x,x,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.2 Dedicated Schools Grant brought forward from previous year,x,x,x,x,x,x,140.96,x,x,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.3 Dedicated Schools Grant carried forward to next year,x,x,x,x,x,x,-6.66,x,x,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.4 Grant for maintained school 6th forms,x,x,x,x,x,x,413.25,x,x,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.5 Local Authority additional contribution,x,x,x,x,x,x,61.11,x,x,z
201819,Financial year,National,England,E92000001,Dedicated schools grant,1.9.6 Total funding supporting the Schools Budget,x,x,x,x,x,x,26841.94,x,x,z
201819,Financial year,National,England,E92000001,Other education and community,2.0.1 Central support services,x,x,x,x,x,x,167.11,132.76,34.35,8
201819,Financial year,National,England,E92000001,Other education and community,2.0.2 Education welfare service,x,x,x,x,x,x,46.59,21.09,25.51,6
201819,Financial year,National,England,E92000001,Other education and community,2.0.3 School improvement,x,x,x,x,x,x,158.38,80.02,78.36,18
201819,Financial year,National,England,E92000001,Other education and community,2.0.4 Asset management - education,x,x,x,x,x,x,36.18,11.34,24.84,6
201819,Financial year,National,England,E92000001,Other education and community,2.0.5 Statutory/ Regulatory duties - education,x,x,x,x,x,x,201.58,56.99,144.58,34
201819,Financial year,National,England,E92000001,Other education and community,2.0.6 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,19.63,0.65,18.98,4
201819,Financial year,National,England,E92000001,Other education and community,2.0.7 Monitoring national curriculum assessment,x,x,x,x,x,x,4.86,1.11,3.75,1
201819,Financial year,National,England,E92000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,138.75,32.44,106.31,12
201819,Financial year,National,England,E92000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,6.01,101.14,93.01,502.73,23.95,x,726.83,12.46,714.37,83
201819,Financial year,National,England,E92000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,3.88,10.41,0.33,69.22,83.84,2.72,81.12,9
201819,Financial year,National,England,E92000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0.86,3.15,1.82,36.94,42.77,0.65,42.12,5
201819,Financial year,National,England,E92000001,Other education and community,2.1.8 Home to post-16 provision transport: mainstream home to post-16 transport expenditure,x,x,1.32,0.01,0.01,21.72,23.07,8.16,14.91,2
201819,Financial year,National,England,E92000001,Other education and community,2.1.9 Supply of school places,x,x,x,x,x,x,31.81,14.73,17.08,2
201819,Financial year,National,England,E92000001,Other education and community,2.2.1 Other spend not funded from the Schools Budget,x,x,x,x,x,x,16.92,4.19,12.73,1
201819,Financial year,National,England,E92000001,Other education and community,2.3.1 Young peoples learning and development,x,x,48.33,2.52,1.66,x,52.51,20.88,31.63,4
201819,Financial year,National,England,E92000001,Other education and community,2.3.2 Adult and Community learning,x,x,x,x,x,x,304.06,258.36,45.69,5
201819,Financial year,National,England,E92000001,Other education and community,2.3.3 Pension costs,x,x,x,x,x,x,257.33,15.02,242.32,28
201819,Financial year,National,England,E92000001,Other education and community,2.3.4 Joint use arrangements,x,x,x,x,x,x,6.19,4.54,1.65,0
201819,Financial year,National,England,E92000001,Other education and community,2.3.5 Insurance,x,x,x,x,x,x,4.2,0.01,4.19,0
201819,Financial year,National,England,E92000001,Other education and community,2.4.1 Other Specific Grant,x,x,x,x,x,x,30.06,30.7,-0.64,z
201819,Financial year,National,England,E92000001,Other education and community,2.5.1 Capital Expenditure (excluding CERA),24.98,729.93,432.92,114.48,11.91,x,1314.21,406.5,907.71,106
201819,Financial year,National,England,E92000001,Other education and community,2.4.2 Capital Expenditure from Revenue (CERA) (Non-schools budget functions),x,x,x,x,x,x,11.41,2.91,8.49,z
201819,Financial year,National,England,E92000001,Other education and community,2.4.3 Total Other education and community expenditure,x,x,x,x,x,x,2919.76,762.45,2157.32,508
201920,Financial year,National,England,E92000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,9.53,34.51,50.32,1030.75,47.88,204.4,1377.38,15.82,1361.57,102
201920,Financial year,National,England,E92000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,12.24,0.17,0.47,12.88,3.89,9,1
201920,Financial year,National,England,E92000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",3.79,239.37,247.2,452.32,68.07,214.57,1225.32,6.82,1218.5,91
201920,Financial year,National,England,E92000001,Schools,1.1.3 Support to UPEG and bilingual learners,x,10.05,1.76,x,x,x,11.81,0.44,11.37,3
201920,Financial year,National,England,E92000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,22.86,4.6,18.25,2
201920,Financial year,National,England,E92000001,Schools,1.2.1 Top-up funding – maintained schools,13.98,439.8,132.54,956.75,133.17,0.36,1676.61,22.35,1654.25,124
201920,Financial year,National,England,E92000001,Schools,1.1.1 Contingencies,x,20.04,7.93,x,x,x,27.97,0.38,27.59,7
201920,Financial year,National,England,E92000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,1.71,36.66,15.59,x,x,x,53.96,0.1,53.86,4
201920,Financial year,National,England,E92000001,Schools,"1.0.1 Individual Schools Budget, after academy recoupment",3432.61,11689.68,4329.17,x,x,x,19451.45,x,19451.45,4872
201920,Financial year,National,England,E92000001,Other education and community,2.1.5 Home to school transport (pre 16): mainstream home to school transport expenditure,4.83,101.12,250.1,7.88,7.77,x,371.7,19.03,352.66,41
201920,Financial year,National,England,E92000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,200.88,27.73,173.15,20
201920,Financial year,National,England,E92000001,Schools,1.0.2 High needs place funding within Individual Schools Budget,4.63,70.48,28.25,786.45,169.36,x,1059.17,x,1059.17,265
201920,Financial year,National,England,E92000001,Schools,1.1.2 Behaviour support services,x,15.56,2.79,x,x,x,18.34,1.92,16.42,4
201920,Financial year,National,England,E92000001,Schools,1.1.4 Free school meals eligibility,x,2.1,0.58,x,x,x,2.67,0.21,2.46,1
201920,Financial year,National,England,E92000001,Schools,1.1.5 Insurance,x,6.81,2.32,x,x,x,9.14,0,9.14,2
201920,Financial year,National,England,E92000001,Schools,1.1.6 Museum and Library services,x,1.71,0.02,x,x,x,1.73,0.13,1.6,0
201920,Financial year,National,England,E92000001,Schools,1.1.7 Licences/subscriptions,x,5.35,1.06,x,x,x,6.41,0.16,6.25,2
201920,Financial year,National,England,E92000001,Schools,1.1.8 Staff costs – supply cover excluding cover for facility time,x,20.84,4.37,x,x,x,25.2,0.55,24.65,6
201920,Financial year,National,England,E92000001,Schools,1.1.9 Staff costs – supply cover for facility time,x,8.08,3.25,x,x,x,11.33,1.42,9.91,2
201920,Financial year,National,England,E92000001,Schools,1.1.10 School improvement,x,8.34,1.25,x,x,x,9.59,0.03,9.56,2
201920,Financial year,National,England,E92000001,Schools,1.2.5 SEN support service,50.63,201.95,120.01,82.38,7.82,4.1,466.88,13.87,453,34
201920,Financial year,National,England,E92000001,Schools,1.2.6 Hospital education services,x,x,x,22.62,25.06,x,47.69,1.08,46.61,3
201920,Financial year,National,England,E92000001,Schools,1.2.7 Other alternative provision services,1.79,28,38,4.57,110.01,1.95,184.31,8.9,175.41,13
201920,Financial year,National,England,E92000001,Schools,1.2.8 Support for inclusion,8.81,68.07,41.01,23.79,6.52,0.5,148.68,5.87,142.82,11
201920,Financial year,National,England,E92000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,2.12,0.55,x,2.67,0,2.67,0
201920,Financial year,National,England,E92000001,Schools,1.2.11 Direct payments (SEN and disability),0.03,1.04,2.04,8.99,2.43,0.18,14.73,0.08,14.65,1
201920,Financial year,National,England,E92000001,Schools,1.2.12 Carbon reduction commitment allowances (PRUs),x,x,x,x,0,x,0,0,0,0
201920,Financial year,National,England,E92000001,Schools,1.2.13 Therapies and other health related services,2.03,11.93,7,13.4,0.64,0.06,35.07,3.19,31.88,2
201920,Financial year,National,England,E92000001,Schools,1.3.1 Central expenditure on early years entitlement,129.21,x,x,x,x,x,129.21,1.89,127.31,11
201920,Financial year,National,England,E92000001,Schools,1.4.1 Contribution to combined expenditure,9.56,60.81,37.51,7.02,2.7,x,117.6,4.57,113.03,13
201920,Financial year,National,England,E92000001,Schools,1.4.2 School admissions,1.41,41.64,25.49,1.14,0.36,x,70.03,1.77,68.26,8
201920,Financial year,National,England,E92000001,Schools,1.4.3 Servicing of schools forums,0.19,2.19,1.41,0.22,0.06,x,4.07,0.09,3.97,0
201920,Financial year,National,England,E92000001,Schools,1.4.4 Termination of employment costs,0.43,14.53,9.91,1.18,0.06,x,26.11,0.24,25.87,3
201920,Financial year,National,England,E92000001,Schools,1.4.5 Falling Rolls Fund,0,2.71,3.17,0,0,x,5.88,0,5.88,1
201920,Financial year,National,England,E92000001,Schools,1.4.6 Capital expenditure from revenue (CERA),0.39,5.77,12.74,1.38,2.73,x,23.01,8.07,14.94,2
201920,Financial year,National,England,E92000001,Schools,1.4.7 Prudential borrowing costs,0.14,12.3,8.14,6.18,0.02,x,26.78,0,26.78,3
201920,Financial year,National,England,E92000001,Schools,1.4.8 Fees to independent schools without SEN,0.03,1.41,2.15,0.7,0.21,x,4.5,0,4.5,1
201920,Financial year,National,England,E92000001,Schools,1.4.9 Equal pay - back pay,0.04,0.96,0.38,0.05,low,x,1.43,0,1.43,0
201920,Financial year,National,England,E92000001,Schools,1.4.10 Pupil growth (includes infant class sizes for years prior to 2018-19),0.38,81.73,62.25,2.27,0.44,x,147.07,0.19,146.89,17
201920,Financial year,National,England,E92000001,Schools,1.4.11 SEN transport,0.18,3.38,2.48,15.54,0.75,0.27,22.6,0,22.6,3
201920,Financial year,National,England,E92000001,Schools,1.4.12 Exceptions agreed by Secretary of State,low,low,0.36,6.25,0,0,6.61,0,6.61,1
201920,Financial year,National,England,E92000001,Schools,1.4.13 Infant class sizes,x,8.96,x,x,x,x,8.96,0,8.96,1
201920,Financial year,National,England,E92000001,Schools,1.4.14 Other Items,1.6,23.95,14.9,1.3,0.41,x,42.23,x,42.23,5
201920,Financial year,National,England,E92000001,Schools,1.5.1 Education welfare service (funded within schools budget),x,x,x,x,x,x,32.08,1.63,30.45,4
201920,Financial year,National,England,E92000001,Schools,1.5.2 Asset management (funded within schools budget),x,x,x,x,x,x,18.91,0.06,18.85,2
201920,Financial year,National,England,E92000001,Schools,1.5.3 Statutory/ Regulatory duties (funded within schools budget),x,x,x,x,x,x,74.19,0.97,73.22,8
201920,Financial year,National,England,E92000001,Schools,1.6.1 Central support services,x,x,x,x,x,x,5.19,0.63,4.56,1
201920,Financial year,National,England,E92000001,Schools,1.6.2 Education welfare service,x,x,x,x,x,x,2.53,0.25,2.28,0
201920,Financial year,National,England,E92000001,Schools,1.6.3 Asset Management (funded through maintained schools budget),x,x,x,x,x,x,4.13,0.16,3.97,0
201920,Financial year,National,England,E92000001,Schools,1.6.4 Statutory/ Regulatory duties (funded through maintained schools budget),x,x,x,x,x,x,18.42,0.8,17.62,2
201920,Financial year,National,England,E92000001,Schools,1.6.5 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,7.14,0.12,7.02,1
201920,Financial year,National,England,E92000001,Schools,1.6.6 Monitoring national curriculum assessment,x,x,x,x,x,x,0.83,0.05,0.78,0
201920,Financial year,National,England,E92000001,Schools,1.7.1 Other Specific Grants,0.48,29.95,5.14,1.47,0.3,0.05,37.38,37.38,0,0
201920,Financial year,National,England,E92000001,Schools,1.8.1 TOTAL SCHOOLS EXPENDITURE (after academy recoupment),3673.57,13210.65,5222.47,3441.07,579.73,426.98,26717.9,146.1,26571.8,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.1 Dedicated Schools Grant for year,x,x,x,x,x,x,25692.09,x,x,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.2 Dedicated Schools Grant brought forward from previous year,x,x,x,x,x,x,0.67,x,x,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.3 Dedicated Schools Grant carried forward to next year,x,x,x,x,x,x,482.97,x,x,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.4 Grant for maintained school 6th forms,x,x,x,x,x,x,373.4,x,x,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.5 Local Authority additional contribution,x,x,x,x,x,x,28.69,x,x,z
201920,Financial year,National,England,E92000001,Dedicated schools grant,1.9.6 Total funding supporting the Schools Budget,x,x,x,x,x,x,26577.81,x,x,z
201920,Financial year,National,England,E92000001,Other education and community,2.0.1 Central support services,x,x,x,x,x,x,147.22,112.01,35.21,9
201920,Financial year,National,England,E92000001,Other education and community,2.0.2 Education welfare service,x,x,x,x,x,x,49.14,22.95,26.19,7
201920,Financial year,National,England,E92000001,Other education and community,2.0.3 School improvement,x,x,x,x,x,x,162.48,88.21,74.26,19
201920,Financial year,National,England,E92000001,Other education and community,2.0.4 Asset management - education,x,x,x,x,x,x,41.89,9.53,32.36,8
201920,Financial year,National,England,E92000001,Other education and community,2.0.5 Statutory/ Regulatory duties - education,x,x,x,x,x,x,199.36,51.98,147.38,37
201920,Financial year,National,England,E92000001,Other education and community,2.0.6 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,18.41,0.47,17.94,4
201920,Financial year,National,England,E92000001,Other education and community,2.0.7 Monitoring national curriculum assessment,x,x,x,x,x,x,4.71,1.06,3.65,1
201920,Financial year,National,England,E92000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,142.22,30.23,111.99,13
201920,Financial year,National,England,E92000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,8.29,116.18,105.47,566.87,26.16,x,822.97,13.51,809.47,93
201920,Financial year,National,England,E92000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,4.43,16.38,1.31,68.65,90.76,2.49,88.27,10
201920,Financial year,National,England,E92000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0.07,5.01,0.39,31.45,36.93,0.88,36.05,4
201920,Financial year,National,England,E92000001,Other education and community,2.1.8 Home to post-16 provision transport: mainstream home to post-16 transport expenditure,x,x,1.18,0.01,0.01,22,23.19,9.57,13.63,2
201920,Financial year,National,England,E92000001,Other education and community,2.1.9 Supply of school places,x,x,x,x,x,x,28.13,11.85,16.29,2
201920,Financial year,National,England,E92000001,Other education and community,2.2.1 Other spend not funded from the Schools Budget,x,x,x,x,x,x,20.17,7.09,13.09,2
201920,Financial year,National,England,E92000001,Other education and community,2.3.1 Young peoples learning and development,x,x,44.11,5.6,3.12,x,52.83,19.96,32.88,4
201920,Financial year,National,England,E92000001,Other education and community,2.3.2 Adult and Community learning,x,x,x,x,x,x,310.67,267.34,43.33,5
201920,Financial year,National,England,E92000001,Other education and community,2.3.3 Pension costs,x,x,x,x,x,x,246.52,13.98,232.54,27
201920,Financial year,National,England,E92000001,Other education and community,2.3.4 Joint use arrangements,x,x,x,x,x,x,10.56,6.18,4.38,1
