time_period,time_identifier,geographic_level,country_name,country_code,school_phase,income_type,income_description,income,income_per_pupil
201617,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA Pre16 (I01),240.92,13184
201617,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA VIthForm (I02),0.55,2732
201617,Financial year,National,England,E92000001,PRU,Grant funding,Total funds delegated by LA (I01 & I02),241.47,13215
201617,Financial year,National,England,E92000001,PRU,Grant funding,SEN funding (I03),113.6,6217
201617,Financial year,National,England,E92000001,PRU,Grant funding,Funding minority ethnic pupils (I04),low,low
201617,Financial year,National,England,E92000001,PRU,Grant funding,Pupil premium (I05),8.76,480
201617,Financial year,National,England,E92000001,PRU,Grant funding,Other government grants (I06),2.23,122
201617,Financial year,National,England,E92000001,PRU,Grant funding,Other grants payments (I07),17.54,960
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Total income from lettings facilities services (I08ab),30.75,1683
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Income from catering (I09),0.81,44
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts supply teacher insurance claims (I10),0.96,52
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts other  insurance claims (I11),0.44,24
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Income contributions visits etc (I12),0.05,3
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Donations and/or private funds (I13),0.39,21
201617,Financial year,National,England,E92000001,PRU,Grant funding,Pupil focussed extended school funding (I15),low,low
201617,Financial year,National,England,E92000001,PRU,Grant funding,Community focussed school funding (I16),1.02,56
201617,Financial year,National,England,E92000001,PRU,Self generated funding,Community focused facilities income (I17),0.26,14
201617,Financial year,National,England,E92000001,PRU,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,PRU,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,PRU,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,PRU,Grant funding,Other additional grants (I18d),0.79,43
201617,Financial year,National,England,E92000001,PRU,Grant funding,Total additional grant (I18 total),0.79,43
201617,Financial year,National,England,E92000001,PRU,Capital funding,Capital income (CI01),2.47,135
201617,Financial year,National,England,E92000001,PRU,Capital funding,Capital voluntary private income (CI03),0.04,2
201617,Financial year,National,England,E92000001,PRU,Capital funding,Capital direct revenue financing(CI04),2.03,111
201617,Financial year,National,England,E92000001,PRU,Total income,Total grant funding,385.43,21093
201617,Financial year,National,England,E92000001,PRU,Total income,Total direct grants,261.25,14297
201617,Financial year,National,England,E92000001,PRU,Total income,Total community grants,1.81,99
201617,Financial year,National,England,E92000001,PRU,Total income,Total targetted grants,122.37,6697
201617,Financial year,National,England,E92000001,PRU,Total income,Total self generated income,2.9,159
201617,Financial year,National,England,E92000001,PRU,Total income,Total income,416.99,22820
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA Pre16 (I01),4935.33,4643
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA VIthForm (I02),532.85,4752
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Total funds delegated by LA (I01 & I02),5468.18,5145
201617,Financial year,National,England,E92000001,Secondary,Grant funding,SEN funding (I03),116.38,109
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Funding minority ethnic pupils (I04),4.12,4
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil premium (I05),279.04,263
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Other government grants (I06),27.56,26
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Other grants payments (I07),45.17,42
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Total income from lettings facilities services (I08ab),138.82,131
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from catering (I09),77.41,73
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts supply teacher insurance claims (I10),8.9,8
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts other  insurance claims (I11),4.02,4
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Income contributions visits etc (I12),44.93,42
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Donations and/or private funds (I13),40.62,38
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil focussed extended school funding (I15),0.31,0
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Community focussed school funding (I16),2.75,3
201617,Financial year,National,England,E92000001,Secondary,Self generated funding,Community focused facilities income (I17),10.93,10
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Other additional grants (I18d),4.15,4
201617,Financial year,National,England,E92000001,Secondary,Grant funding,Total additional grant (I18 total),4.15,4
201617,Financial year,National,England,E92000001,Secondary,Capital funding,Capital income (CI01),40.89,38
201617,Financial year,National,England,E92000001,Secondary,Capital funding,Capital voluntary private income (CI03),6.02,6
201617,Financial year,National,England,E92000001,Secondary,Capital funding,Capital direct revenue financing(CI04),18.64,18
201617,Financial year,National,England,E92000001,Secondary,Total income,Total grant funding,5947.66,5596
201617,Financial year,National,England,E92000001,Secondary,Total income,Total direct grants,5540.91,5213
201617,Financial year,National,England,E92000001,Secondary,Total income,Total community grants,6.9,6
201617,Financial year,National,England,E92000001,Secondary,Total income,Total targetted grants,399.85,376
201617,Financial year,National,England,E92000001,Secondary,Total income,Total self generated income,186.81,176
201617,Financial year,National,England,E92000001,Secondary,Total income,Total income,6238.72,5870
201617,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA Pre16 (I01),915.57,10682
201617,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA VIthForm (I02),71.76,6818
201617,Financial year,National,England,E92000001,Special,Grant funding,Total funds delegated by LA (I01 & I02),987.33,11519
201617,Financial year,National,England,E92000001,Special,Grant funding,SEN funding (I03),797.44,9304
201617,Financial year,National,England,E92000001,Special,Grant funding,Funding minority ethnic pupils (I04),0.01,0
201617,Financial year,National,England,E92000001,Special,Grant funding,Pupil premium (I05),44.4,518
201617,Financial year,National,England,E92000001,Special,Grant funding,Other government grants (I06),13.35,156
201617,Financial year,National,England,E92000001,Special,Grant funding,Other grants payments (I07),21.63,252
201617,Financial year,National,England,E92000001,Special,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,Special,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,Special,Self generated funding,Total income from lettings facilities services (I08ab),57.7,673
201617,Financial year,National,England,E92000001,Special,Self generated funding,Income from catering (I09),8.97,105
201617,Financial year,National,England,E92000001,Special,Self generated funding,Receipts supply teacher insurance claims (I10),6.78,79
201617,Financial year,National,England,E92000001,Special,Self generated funding,Receipts other  insurance claims (I11),5.44,63
201617,Financial year,National,England,E92000001,Special,Self generated funding,Income contributions visits etc (I12),2.28,27
201617,Financial year,National,England,E92000001,Special,Self generated funding,Donations and/or private funds (I13),11.52,134
201617,Financial year,National,England,E92000001,Special,Grant funding,Pupil focussed extended school funding (I15),0.84,10
201617,Financial year,National,England,E92000001,Special,Grant funding,Community focussed school funding (I16),1.61,19
201617,Financial year,National,England,E92000001,Special,Self generated funding,Community focused facilities income (I17),2.72,32
201617,Financial year,National,England,E92000001,Special,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,Special,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,Special,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,Special,Grant funding,Other additional grants (I18d),7.62,89
201617,Financial year,National,England,E92000001,Special,Grant funding,Total additional grant (I18 total),7.62,89
201617,Financial year,National,England,E92000001,Special,Capital funding,Capital income (CI01),10.45,122
201617,Financial year,National,England,E92000001,Special,Capital funding,Capital voluntary private income (CI03),1.82,21
201617,Financial year,National,England,E92000001,Special,Capital funding,Capital direct revenue financing(CI04),11.41,133
201617,Financial year,National,England,E92000001,Special,Total income,Total grant funding,1874.23,21867
201617,Financial year,National,England,E92000001,Special,Total income,Total direct grants,1022.31,11927
201617,Financial year,National,England,E92000001,Special,Total income,Total community grants,9.24,108
201617,Financial year,National,England,E92000001,Special,Total income,Total targetted grants,842.68,9832
201617,Financial year,National,England,E92000001,Special,Total income,Total self generated income,37.71,440
201617,Financial year,National,England,E92000001,Special,Total income,Total income,1956.07,22821
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA Pre16 (I01),19294.22,4284
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA VIthForm (I02),528.9,5615
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total funds delegated by LA (I01 & I02),19823.12,4401
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,SEN funding (I03),1490.25,331
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funding minority ethnic pupils (I04),21.98,5
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil premium (I05),1345.71,299
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other government grants (I06),105.63,23
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other grants payments (I07),163.81,36
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Total income from lettings facilities services (I08ab),638.5,142
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from catering (I09),267.06,59
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts supply teacher insurance claims (I10),78.25,17
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts other  insurance claims (I11),30.95,7
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income contributions visits etc (I12),190.59,42
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Donations and/or private funds (I13),168.43,37
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil focussed extended school funding (I15),14.31,3
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Community focussed school funding (I16),72.23,16
201718,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Community focused facilities income (I17),77.44,17
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other additional grants (I18d),609.13,135
201718,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total additional grant (I18 total),609.13,135
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital income (CI01),146.01,32
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital voluntary private income (CI03),19,4
201718,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital direct revenue financing(CI04),93.74,21
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total grant funding,23646.17,5250
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total direct grants,20092.57,4461
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total community grants,681.36,151
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total targetted grants,2872.25,638
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total self generated income,812.72,180
201718,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total income,24988.36,5548
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA Pre16 (I01),194.41,6904
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA VIthForm (I02),low,low
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Total funds delegated by LA (I01 & I02),194.41,6904
201718,Financial year,National,England,E92000001,Nursery,Grant funding,SEN funding (I03),10.75,382
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Funding minority ethnic pupils (I04),low,low
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil premium (I05),1.34,48
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Other government grants (I06),5.19,184
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Other grants payments (I07),7.66,272
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Total income from lettings facilities services (I08ab),31.54,1120
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from catering (I09),1.23,44
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts supply teacher insurance claims (I10),0.68,24
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts other  insurance claims (I11),0.68,24
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Income contributions visits etc (I12),2.76,98
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Donations and/or private funds (I13),2.66,95
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil focussed extended school funding (I15),1,35
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Community focussed school funding (I16),13.98,496
201718,Financial year,National,England,E92000001,Nursery,Self generated funding,Community focused facilities income (I17),7.76,275
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Other additional grants (I18d),0.02,1
201718,Financial year,National,England,E92000001,Nursery,Grant funding,Total additional grant (I18 total),0.02,1
201718,Financial year,National,England,E92000001,Nursery,Capital funding,Capital income (CI01),2.91,103
201718,Financial year,National,England,E92000001,Nursery,Capital funding,Capital voluntary private income (CI03),0.1,3
201718,Financial year,National,England,E92000001,Nursery,Capital funding,Capital direct revenue financing(CI04),0.91,32
201718,Financial year,National,England,E92000001,Nursery,Total income,Total grant funding,234.33,8321
201718,Financial year,National,England,E92000001,Nursery,Total income,Total direct grants,207.26,7360
201718,Financial year,National,England,E92000001,Nursery,Total income,Total community grants,14,497
201718,Financial year,National,England,E92000001,Nursery,Total income,Total targetted grants,13.08,464
201718,Financial year,National,England,E92000001,Nursery,Total income,Total self generated income,15.77,560
201718,Financial year,National,England,E92000001,Nursery,Total income,Total income,280.7,9968
201718,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA Pre16 (I01),13532.32,3978
201718,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA VIthForm (I02),0.23,454
201718,Financial year,National,England,E92000001,Primary,Grant funding,Total funds delegated by LA (I01 & I02),13532.55,3978
201718,Financial year,National,England,E92000001,Primary,Grant funding,SEN funding (I03),434.34,128
201718,Financial year,National,England,E92000001,Primary,Grant funding,Funding minority ethnic pupils (I04),18.35,5
201718,Financial year,National,England,E92000001,Primary,Grant funding,Pupil premium (I05),1043.58,307
201718,Financial year,National,England,E92000001,Primary,Grant funding,Other government grants (I06),59.52,17
201718,Financial year,National,England,E92000001,Primary,Grant funding,Other grants payments (I07),82.1,24
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Total income from lettings facilities services (I08ab),394.51,116
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Income from catering (I09),186.01,55
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts supply teacher insurance claims (I10),62.84,18
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts other  insurance claims (I11),22.04,6
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Income contributions visits etc (I12),141.53,42
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Donations and/or private funds (I13),117.6,35
201718,Financial year,National,England,E92000001,Primary,Grant funding,Pupil focussed extended school funding (I15),12.05,4
201718,Financial year,National,England,E92000001,Primary,Grant funding,Community focussed school funding (I16),53.78,16
201718,Financial year,National,England,E92000001,Primary,Self generated funding,Community focused facilities income (I17),57.3,17
201718,Financial year,National,England,E92000001,Primary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,Primary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,Primary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,Primary,Grant funding,Other additional grants (I18d),596.1,175
201718,Financial year,National,England,E92000001,Primary,Grant funding,Total additional grant (I18 total),596.1,175
201718,Financial year,National,England,E92000001,Primary,Capital funding,Capital income (CI01),98.46,29
201718,Financial year,National,England,E92000001,Primary,Capital funding,Capital voluntary private income (CI03),10.66,3
201718,Financial year,National,England,E92000001,Primary,Capital funding,Capital direct revenue financing(CI04),66.24,19
201718,Financial year,National,England,E92000001,Primary,Total income,Total grant funding,15832.37,4654
201718,Financial year,National,England,E92000001,Primary,Total income,Total direct grants,13674.17,4020
201718,Financial year,National,England,E92000001,Primary,Total income,Total community grants,649.89,191
201718,Financial year,National,England,E92000001,Primary,Total income,Total targetted grants,1508.32,443
201718,Financial year,National,England,E92000001,Primary,Total income,Total self generated income,587.33,173
201718,Financial year,National,England,E92000001,Primary,Total income,Total income,16739.67,4921
201718,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA Pre16 (I01),218.63,11140
201718,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA VIthForm (I02),0.57,3332
201718,Financial year,National,England,E92000001,PRU,Grant funding,Total funds delegated by LA (I01 & I02),219.2,11169
201718,Financial year,National,England,E92000001,PRU,Grant funding,SEN funding (I03),122.82,6259
201718,Financial year,National,England,E92000001,PRU,Grant funding,Funding minority ethnic pupils (I04),low,low
201718,Financial year,National,England,E92000001,PRU,Grant funding,Pupil premium (I05),8.42,429
201718,Financial year,National,England,E92000001,PRU,Grant funding,Other government grants (I06),2.45,125
201718,Financial year,National,England,E92000001,PRU,Grant funding,Other grants payments (I07),11.66,594
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Total income from lettings facilities services (I08ab),30.55,1557
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Income from catering (I09),0.62,32
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts supply teacher insurance claims (I10),0.9,46
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts other  insurance claims (I11),0.5,25
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Income contributions visits etc (I12),0.02,1
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Donations and/or private funds (I13),0.59,30
201718,Financial year,National,England,E92000001,PRU,Grant funding,Pupil focussed extended school funding (I15),0.15,8
201718,Financial year,National,England,E92000001,PRU,Grant funding,Community focussed school funding (I16),0.12,6
201718,Financial year,National,England,E92000001,PRU,Self generated funding,Community focused facilities income (I17),1.1,56
201718,Financial year,National,England,E92000001,PRU,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,PRU,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,PRU,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,PRU,Grant funding,Other additional grants (I18d),0.62,31
201718,Financial year,National,England,E92000001,PRU,Grant funding,Total additional grant (I18 total),0.62,31
201718,Financial year,National,England,E92000001,PRU,Capital funding,Capital income (CI01),2.25,115
201718,Financial year,National,England,E92000001,PRU,Capital funding,Capital voluntary private income (CI03),0.23,12
201718,Financial year,National,England,E92000001,PRU,Capital funding,Capital direct revenue financing(CI04),2.4,122
201718,Financial year,National,England,E92000001,PRU,Total income,Total grant funding,365.44,18621
201718,Financial year,National,England,E92000001,PRU,Total income,Total direct grants,233.31,11888
201718,Financial year,National,England,E92000001,PRU,Total income,Total community grants,0.74,37
201718,Financial year,National,England,E92000001,PRU,Total income,Total targetted grants,131.39,6695
201718,Financial year,National,England,E92000001,PRU,Total income,Total self generated income,3.73,190
201718,Financial year,National,England,E92000001,PRU,Total income,Total income,397.22,20240
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA Pre16 (I01),4468.6,4603
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA VIthForm (I02),465.04,5287
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Total funds delegated by LA (I01 & I02),4933.64,5082
201718,Financial year,National,England,E92000001,Secondary,Grant funding,SEN funding (I03),108.68,112
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Funding minority ethnic pupils (I04),3.06,3
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil premium (I05),249.53,257
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Other government grants (I06),24.84,26
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Other grants payments (I07),41.68,43
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Total income from lettings facilities services (I08ab),125.48,129
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from catering (I09),71.52,74
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts supply teacher insurance claims (I10),7.73,8
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts other  insurance claims (I11),2.58,3
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Income contributions visits etc (I12),43.95,45
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Donations and/or private funds (I13),37.96,39
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil focussed extended school funding (I15),0.25,0
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Community focussed school funding (I16),3.27,3
201718,Financial year,National,England,E92000001,Secondary,Self generated funding,Community focused facilities income (I17),9.41,10
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Other additional grants (I18d),3.44,4
201718,Financial year,National,England,E92000001,Secondary,Grant funding,Total additional grant (I18 total),3.44,4
201718,Financial year,National,England,E92000001,Secondary,Capital funding,Capital income (CI01),31.84,33
201718,Financial year,National,England,E92000001,Secondary,Capital funding,Capital voluntary private income (CI03),5.8,6
201718,Financial year,National,England,E92000001,Secondary,Capital funding,Capital direct revenue financing(CI04),14.09,15
201718,Financial year,National,England,E92000001,Secondary,Total income,Total grant funding,5368.39,5530
201718,Financial year,National,England,E92000001,Secondary,Total income,Total direct grants,5000.15,5151
201718,Financial year,National,England,E92000001,Secondary,Total income,Total community grants,6.71,7
201718,Financial year,National,England,E92000001,Secondary,Total income,Total targetted grants,361.52,372
201718,Financial year,National,England,E92000001,Secondary,Total income,Total self generated income,173.15,178
201718,Financial year,National,England,E92000001,Secondary,Total income,Total income,5646.8,5817
201718,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA Pre16 (I01),880.26,10487
201718,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA VIthForm (I02),63.06,11361
201718,Financial year,National,England,E92000001,Special,Grant funding,Total funds delegated by LA (I01 & I02),943.32,11238
201718,Financial year,National,England,E92000001,Special,Grant funding,SEN funding (I03),813.66,9694
201718,Financial year,National,England,E92000001,Special,Grant funding,Funding minority ethnic pupils (I04),0.56,7
201718,Financial year,National,England,E92000001,Special,Grant funding,Pupil premium (I05),42.85,511
201718,Financial year,National,England,E92000001,Special,Grant funding,Other government grants (I06),13.64,163
201718,Financial year,National,England,E92000001,Special,Grant funding,Other grants payments (I07),20.71,247
201718,Financial year,National,England,E92000001,Special,Self generated funding,Income from lettings (I08a),x,x
201718,Financial year,National,England,E92000001,Special,Self generated funding,Income from facilities services (I08b),x,x
201718,Financial year,National,England,E92000001,Special,Self generated funding,Total income from lettings facilities services (I08ab),56.42,672
201718,Financial year,National,England,E92000001,Special,Self generated funding,Income from catering (I09),7.67,91
201718,Financial year,National,England,E92000001,Special,Self generated funding,Receipts supply teacher insurance claims (I10),6.1,73
201718,Financial year,National,England,E92000001,Special,Self generated funding,Receipts other  insurance claims (I11),5.15,61
201718,Financial year,National,England,E92000001,Special,Self generated funding,Income contributions visits etc (I12),2.33,28
201718,Financial year,National,England,E92000001,Special,Self generated funding,Donations and/or private funds (I13),9.63,115
201718,Financial year,National,England,E92000001,Special,Grant funding,Pupil focussed extended school funding (I15),0.87,10
201718,Financial year,National,England,E92000001,Special,Grant funding,Community focussed school funding (I16),1.08,13
201718,Financial year,National,England,E92000001,Special,Self generated funding,Community focused facilities income (I17),1.86,22
201718,Financial year,National,England,E92000001,Special,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201718,Financial year,National,England,E92000001,Special,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201718,Financial year,National,England,E92000001,Special,Grant funding,Income COVID-19 catch up package (I18c),x,x
201718,Financial year,National,England,E92000001,Special,Grant funding,Other additional grants (I18d),8.95,107
201718,Financial year,National,England,E92000001,Special,Grant funding,Total additional grant (I18 total),8.95,107
201718,Financial year,National,England,E92000001,Special,Capital funding,Capital income (CI01),10.55,126
201718,Financial year,National,England,E92000001,Special,Capital funding,Capital voluntary private income (CI03),2.21,26
201718,Financial year,National,England,E92000001,Special,Capital funding,Capital direct revenue financing(CI04),10.1,120
201718,Financial year,National,England,E92000001,Special,Total income,Total grant funding,1845.64,21988
201718,Financial year,National,England,E92000001,Special,Total income,Total direct grants,977.68,11648
201718,Financial year,National,England,E92000001,Special,Total income,Total community grants,10.03,119
201718,Financial year,National,England,E92000001,Special,Total income,Total targetted grants,857.94,10221
201718,Financial year,National,England,E92000001,Special,Total income,Total self generated income,32.74,390
201718,Financial year,National,England,E92000001,Special,Total income,Total income,1923.98,22921
201819,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA Pre16 (I01),18349.08,4402
201819,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA VIthForm (I02),472.79,4794
201819,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total funds delegated by LA (I01 & I02),18821.87,4516
201819,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,SEN funding (I03),1485.15,356
201819,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funding minority ethnic pupils (I04),21.41,5
