time_period,time_identifier,geographic_level,country_name,country_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201920,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,159.04,166.33,10.84,6.77,342.99,29.76,313.23,18.36,1.15,293.72,26
201920,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,36.89,12.65,0.44,1.87,51.84,2.68,49.16,0.9,0.14,48.12,4
201920,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,109.32,10.05,2.52,2.56,124.45,1.07,123.38,0.18,1.59,121.6,10
201920,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,48.53,4.26,2.11,0.01,54.92,11.16,43.76,14.77,0.72,28.27,4
201920,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,272.22,171.87,9.41,12.53,466.02,28.01,438.02,42.58,7.1,388.34,36
201920,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,98.7,79.14,7.69,1.41,186.94,37.38,149.56,111.09,13.13,25.35,12
201920,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2506.39,2471.2,194.97,105.51,5278.06,280.23,4997.83,239.95,53.12,4704.76,414
201920,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,108.57,18.88,9.5,5.82,142.78,20.74,122.05,6.2,4.39,111.45,10
201920,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),2160.54,78.87,76.27,5.39,2321.06,79.55,2241.52,34.59,23.41,2183.51,186
201920,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,210.44,10.8,90.2,1.59,313.03,107.71,205.31,5.41,9.19,190.71,17
201920,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,38.68,1.41,2.63,0.08,42.8,18.26,24.54,0.61,0.3,23.63,2
201920,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2409.66,91.08,169.09,7.06,2676.89,205.52,2471.37,40.62,32.9,2397.85,205
201920,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,84.16,38.88,3.03,1.18,127.24,11.74,115.5,0.16,0.36,114.98,10
201920,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,145.75,38.74,6.68,31.31,222.48,22.22,200.26,1.45,2.2,196.61,17
201920,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,34.36,12.98,2.44,1.5,51.27,4.79,46.48,0.08,0.95,45.45,4
201920,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,622.82,47.01,53.67,17.01,740.51,104.96,635.55,104.47,20.66,510.41,53
201920,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,65.7,5.8,0.93,0.56,72.99,4.97,68.02,3.49,0.26,64.27,6
201920,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,952.8,143.42,66.73,51.55,1214.5,148.69,1065.81,109.65,24.43,931.73,88
201920,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,125.34,15,5.8,9.88,156.02,23.28,132.74,3.59,2.04,127.11,11
201920,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,188.16,8.93,6.68,12.33,216.1,38.5,177.6,7.97,12.6,157.03,15
201920,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,313.51,23.93,12.48,22.2,372.12,61.78,310.34,11.56,14.65,284.14,26
201920,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,8.72,x,x,x,x,x,0
201920,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,2.59,x,x,x,x,x,0
201920,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,289.04,134.48,154.56,x,x,x,13
201920,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,26.7,2.46,24.24,x,x,x,2
201920,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,10530.79,x,9591.59,x,x,x,794
201920,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,10557.49,x,9615.83,x,x,x,796
202021,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,251.73,23.9,10.14,50.08,335.85,43.09,292.76,8.43,0.62,283.71,24
202021,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,37.57,7.16,1.72,6.57,53.01,3.9,49.11,2.66,0.03,46.42,4
202021,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,26.17,0.32,low,0.02,26.52,2.53,23.99,0.56,0.04,23.39,2
202021,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,83.6,3,4.79,3.89,95.28,14.89,80.39,2.87,1.19,76.34,7
202021,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,399.07,34.38,16.64,60.57,510.66,64.41,446.25,14.51,1.88,429.86,37
202021,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,406.67,1327.82,73.64,28.5,1836.62,107.07,1729.55,35.64,10.76,1683.15,143
202021,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),305.07,723.97,44.56,32.9,1106.51,18.42,1088.09,22.96,0.47,1064.66,90
202021,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),566.59,138.68,14.04,9.56,728.87,13.32,715.55,13.19,0.32,702.03,59
202021,Financial year,National,England,E92000001,Children looked after,3.1.2 Total fostering services,871.66,862.65,58.6,42.46,1835.38,31.74,1803.63,36.15,0.79,1766.7,149
202021,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,247.85,36.02,46.39,6.48,336.74,52.86,283.88,13.81,2.28,267.8,23
202021,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,297.97,39.31,6.57,6.28,350.13,3.77,346.37,3.4,0.01,342.96,29
202021,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,157.18,185.89,11.13,5.75,359.94,28.73,331.21,24.51,0.92,305.78,27
202021,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,27.07,7.88,0.47,0.81,36.22,2.37,33.86,0.86,0.1,32.89,3
202021,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,113.27,12.55,2.5,5.16,133.48,0.77,132.71,0.2,0.28,132.23,11
202021,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,51.22,3.88,2.67,0.02,57.79,11.58,46.21,14,3.69,28.52,4
202021,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,311.73,191.94,12.02,10.52,526.21,34.47,491.74,61.67,6.86,423.21,41
202021,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,100.33,75.46,4.11,1.14,181.04,51.8,129.25,112.98,28.38,-12.11,11
202021,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2584.96,2743.4,218.1,107.12,5653.57,325.16,5328.41,303.23,54.06,4971.12,439
202021,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,84.35,17.39,3.7,5.24,110.67,11.43,99.24,14.98,0.02,84.23,8
202021,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),2365.02,88.13,69.92,4.18,2527.25,97.24,2430.01,39.94,13.81,2376.27,200
202021,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,244.87,19.02,12.92,2.25,279.05,31.05,248,2.69,0.83,244.48,20
202021,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,37.06,1.8,2.62,low,41.48,16.32,25.16,0.59,0.2,24.37,2
202021,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2646.95,108.95,85.45,6.43,2847.79,144.61,2703.17,43.22,14.84,2645.12,223
202021,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,88.95,43.11,3.36,1.24,136.66,12.14,124.52,0.14,0.01,124.37,10
202021,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,135.66,48.16,10.78,17.81,212.41,23.74,188.67,1.33,0.07,187.27,16
202021,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,46.15,18.79,1.41,0.6,66.96,6,60.96,0.28,0.01,60.67,5
202021,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,644.28,63.31,45.21,18.45,771.25,107.45,663.8,122.17,11.79,529.84,55
202021,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,78.08,6.46,0.81,0.1,85.45,9.11,76.34,4.64,0.01,71.69,6
202021,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,993.12,179.84,61.56,38.2,1272.72,158.44,1114.28,128.55,11.89,973.84,92
202021,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,119.22,14.07,6.43,13.78,153.51,19.8,133.71,4.9,0.07,128.73,11
202021,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,197.33,13.96,4.96,9.61,225.87,36.2,189.67,14.82,2.75,172.1,16
202021,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,316.56,28.03,11.4,23.39,379.38,55.99,323.38,19.73,2.82,300.83,27
202021,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,7.91,x,x,x,x,x,0
202021,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,2.67,x,x,x,x,x,0
202021,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,286.48,135.33,151.15,x,x,x,12
202021,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,16.61,2.39,14.22,x,x,x,1
202021,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,11061.26,x,10165.88,x,x,x,838
202021,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,11077.87,x,10180.1,x,x,x,839
202122,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,243.01,12.2,7.74,54.18,317.13,45.41,271.72,6.62,0.02,265.08,22
202122,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,36.16,6.06,9.73,6.28,58.23,4.69,53.54,2.13,0.04,51.37,4
202122,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,27.31,0.28,0.03,0.01,27.64,2.13,25.5,0.36,0.13,25.02,2
202122,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,86.89,3.48,9.14,2.73,102.23,25.71,76.52,2.43,0.84,73.25,6
202122,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,393.37,22.03,26.63,63.2,505.23,77.94,427.29,11.53,1.03,414.73,35
202122,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,509.41,1475.03,65.95,33.24,2083.63,143.02,1940.61,41.17,3.57,1895.87,159
202122,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),353.63,718.81,40.5,25.05,1137.99,14.96,1123.04,22.9,0.55,1099.59,92
202122,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),585.95,131.99,18.82,7.97,744.73,15.15,729.58,10.38,0.45,718.75,60
202122,Financial year,National,England,E92000001,Children looked after,3.1.2 Total fostering services,939.58,850.8,59.32,33.02,1882.73,30.1,1852.62,33.28,1,1818.35,152
202122,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,252.04,33.55,45.77,5.85,337.22,54.66,282.55,12.57,2.16,267.82,23
202122,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,325.93,39.37,8.75,7.39,381.44,0.77,380.66,3.57,0.04,377.05,31
202122,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,193.87,217.71,15.57,5.57,432.71,25.79,406.93,32.45,0.62,373.85,33
202122,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,34.24,8.65,0.12,0.97,43.98,2.56,41.42,0.68,0.05,40.68,3
202122,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,117.43,15.4,3.43,4.95,141.22,4.41,136.8,0.08,0.16,136.56,11
202122,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,55.58,5.07,2.91,low,63.56,15.06,48.49,14.61,2.85,31.03,4
202122,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,342.66,201.7,15.72,10.08,570.15,31.84,538.31,63.6,13.91,460.79,44
202122,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,111.02,73.88,4.92,0.96,190.79,43.86,146.93,123.06,24.56,-0.7,12
202122,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2881.76,2921.17,222.45,102.03,6127.41,352.08,5775.33,325.09,48.93,5401.31,474
202122,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,91.18,18.15,5.77,4.09,119.19,17,102.2,6.36,1.73,94.11,8
202122,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),2452.11,91.61,83.24,5.01,2631.98,80.54,2551.44,51.42,12.5,2487.52,209
202122,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,273.36,17.99,7.88,1.84,301.07,33.72,267.35,10.16,0.26,256.92,22
202122,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,37.82,2.16,4.63,0.03,44.64,16.8,27.83,0.53,0.24,27.07,2
202122,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2763.29,111.76,95.75,6.87,2977.68,131.06,2846.62,62.11,13,2771.51,234
202122,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,96.84,42.74,4.64,2.09,146.31,13.05,133.27,0.1,0.01,133.16,11
202122,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,148.12,45.58,14.56,18.02,226.29,26.51,199.78,1.06,0.4,198.32,16
202122,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,48.9,9.21,2.48,0.56,61.15,6.52,54.63,0.05,0,54.58,4
202122,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,753.81,73,54.6,21.73,903.14,126.51,776.63,179.8,18.09,578.75,64
202122,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,88.31,9.15,3.51,4.23,105.21,13.15,92.05,13.72,0.91,77.43,8
202122,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,1135.99,179.69,79.79,46.63,1442.11,185.74,1256.37,194.73,19.41,1042.24,103
202122,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,136.51,18.23,2.61,11.03,168.38,34.75,133.63,12.71,1.06,119.86,11
202122,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,210.16,16.6,7.27,6.13,240.16,32.82,207.34,20.47,5.77,181.09,17
202122,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,346.67,34.83,9.88,17.15,408.54,67.57,340.97,33.19,6.83,300.95,28
202122,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,7.84,x,x,x,x,x,0
202122,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,1.87,x,x,x,x,x,0
202122,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,305.13,149.85,155.29,x,x,x,13
202122,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,12.19,3,9.18,x,x,x,1
202122,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,11885.29,x,10904.06,x,x,x,895
202122,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,11897.48,x,10913.25,x,x,x,895
